,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
116,Border,1940,45.0,4468359,4244941.0,8.95,47.55,99297.0,0.95,5,"DE,KY,MD,MO,WV"
117,Confederate,1940,124.0,4757575,11656059.0,9.53,50.62,38368.0,2.45,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
118,Postbellum,1940,64.0,4603700,6030847.0,9.23,48.99,71933.0,1.31,13,"AZ,CO,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
119,Union,1940,298.0,36072479,28136534.0,72.29,383.84,121049.0,0.78,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
120,Border,1944,45.0,3889791,4084281.0,8.11,43.05,86440.0,1.05,5,"DE,KY,MD,MO,WV"
121,Confederate,1944,127.0,4741298,11473941.0,9.88,52.48,37333.0,2.42,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
122,Postbellum,1944,64.0,4208804,5766061.0,8.77,46.58,65763.0,1.37,13,"AZ,CO,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
123,Union,1944,295.0,35137170,26704249.0,73.24,388.89,119109.0,0.76,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
124,Border,1948,45.0,3885844,4118995.0,7.96,42.29,86352.0,1.06,5,"DE,KY,MD,MO,WV"
125,Confederate,1948,127.0,5215284,11682236.0,10.69,56.76,41065.0,2.24,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
126,Postbellum,1948,64.0,4344725,5865379.0,8.9,47.28,67886.0,1.35,13,"AZ,CO,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
127,Union,1948,295.0,35347682,27217715.0,72.44,384.67,119823.0,0.77,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
128,Border,1952,43.0,4834857,4979903.0,7.83,41.57,112439.0,1.03,5,"DE,KY,MD,MO,WV"
129,Confederate,1952,128.0,8553728,14883487.0,13.85,73.55,66826.0,1.74,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
130,Postbellum,1952,63.0,5437306,7340363.0,8.81,46.75,86306.0,1.35,13,"AZ,CO,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
131,Union,1952,297.0,42926051,34340841.0,69.51,369.12,144532.0,0.8,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
132,Border,1956,43.0,4827537,5020638.0,7.78,41.33,112268.0,1.04,5,"DE,KY,MD,MO,WV"
133,Confederate,1956,128.0,8615765,14991431.0,13.89,73.76,67311.0,1.74,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
134,Postbellum,1956,63.0,5441368,7345847.0,8.77,46.59,86371.0,1.35,13,"AZ,CO,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
135,Union,1956,297.0,43136658,34509326.0,69.55,369.32,145241.0,0.8,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
136,Border,1960,43.0,5148697,5509106.0,7.48,40.17,119737.0,1.07,5,"DE,KY,MD,MO,WV"
137,Confederate,1960,128.0,10266143,16425829.0,14.91,80.09,80204.0,1.6,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
138,Postbellum,1960,69.0,6234833,8853463.0,9.06,48.64,90360.0,1.42,15,"AK,AZ,CO,HI,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
139,Union,1960,297.0,47182809,38218075.0,68.55,368.1,158865.0,0.81,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
140,Border,1964,41.0,4973801,5371705.0,7.04,37.88,121312.0,1.08,5,"DE,KY,MD,MO,WV"
141,Confederate,1964,128.0,12312262,16867799.0,17.43,93.77,96190.0,1.37,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
142,Postbellum,1964,70.0,6436181,9203739.0,9.11,49.02,91945.0,1.43,15,"AK,AZ,CO,HI,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
143,Union,1964,299.0,46917040,39410314.0,66.42,357.33,156913.0,0.84,20,"CA,CT,DC,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
144,Border,1968,41.0,5069007,5575908.0,6.92,37.26,123634.0,1.1,5,"DE,KY,MD,MO,WV"
145,Confederate,1968,128.0,14793526,17456361.0,20.21,108.73,115574.0,1.18,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
146,Postbellum,1968,70.0,6527611,9530312.0,8.92,47.98,93252.0,1.46,15,"AK,AZ,CO,HI,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
147,Union,1968,299.0,46809854,40724573.0,63.95,344.04,156555.0,0.87,20,"CA,CT,DC,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
148,Border,1972,40.0,5271815,5798997.0,6.78,36.48,131795.0,1.1,5,"DE,KY,MD,MO,WV"
149,Confederate,1972,130.0,15436675,18832744.0,19.86,106.82,118744.0,1.22,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
150,Postbellum,1972,71.0,7457572,10291449.0,9.59,51.61,105036.0,1.38,15,"AK,AZ,CO,HI,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
151,Union,1972,297.0,49577965,43132830.0,63.77,343.09,166929.0,0.87,20,"CA,CT,DC,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
152,Border,1976,40.0,5539523,6038080.0,6.79,36.55,138488.0,1.09,5,"DE,KY,MD,MO,WV"
153,Confederate,1976,130.0,18343958,19628035.0,22.5,121.05,141107.0,1.07,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
154,Postbellum,1976,71.0,8077627,10743244.0,9.91,53.3,113769.0,1.33,15,"AK,AZ,CO,HI,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
155,Union,1976,297.0,49570476,45109133.0,60.8,327.1,166904.0,0.91,20,"CA,CT,DC,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
156,Border,1980,40.0,5908330,6440080.0,6.83,36.74,147708.0,1.09,5,"DE,KY,MD,MO,WV"
157,Confederate,1980,130.0,20676416,20883180.0,23.9,128.59,159049.0,1.01,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
158,Postbellum,1980,71.0,8968736,11390295.0,10.37,55.78,126320.0,1.27,15,"AK,AZ,CO,HI,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
159,Union,1980,297.0,50956196,47898824.0,58.9,316.89,171570.0,0.94,20,"CA,CT,DC,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
160,Border,1984,39.0,6159419,6713767.0,6.65,35.77,157934.0,1.09,5,"DE,KY,MD,MO,WV"
161,Confederate,1984,138.0,23329377,23795965.0,25.18,135.46,169053.0,1.02,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
162,Postbellum,1984,76.0,9698425,13092874.0,10.47,56.31,127611.0,1.35,15,"AK,AZ,CO,HI,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
163,Union,1984,285.0,53466012,49188731.0,57.71,310.46,187600.0,0.92,20,"CA,CT,DC,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
164,Border,1988,39.0,6033305,6636636.0,6.59,35.44,154700.0,1.1,5,"DE,KY,MD,MO,WV"
165,Confederate,1988,138.0,23253576,23486112.0,25.39,136.58,168504.0,1.01,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
166,Postbellum,1988,76.0,9877312,12939279.0,10.78,58.02,129965.0,1.31,15,"AK,AZ,CO,HI,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
167,Union,1988,285.0,52430493,48760358.0,57.24,307.96,183967.0,0.93,20,"CA,CT,DC,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
168,Border,1992,37.0,6842513,7184639.0,6.55,35.25,184933.0,1.05,5,"DE,KY,MD,MO,WV"
169,Confederate,1992,147.0,27555746,28657976.0,26.39,141.97,187454.0,1.04,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
170,Postbellum,1992,77.0,11662011,14927374.0,11.17,60.08,151455.0,1.28,15,"AK,AZ,CO,HI,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
171,Union,1992,277.0,58363653,53694561.0,55.89,300.69,210699.0,0.92,20,"CA,CT,DC,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
172,Border,1996,37.0,6234947,6609044.0,6.48,34.84,168512.0,1.06,5,"DE,KY,MD,MO,WV"
173,Confederate,1996,147.0,26286947,26286947.0,27.3,146.89,178823.0,1.0,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
174,Postbellum,1996,77.0,11041584,13801980.0,11.47,61.7,143397.0,1.25,15,"AK,AZ,CO,HI,ID,MT,NE,NV,NM,ND,OK,SD,UT,WA,WY"
175,Union,1996,277.0,52711923,49549208.0,54.75,294.56,190296.0,0.94,20,"CA,CT,DC,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
