,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Vote weight,Party
1107,IA,Iowa,Union,1940,11.0,1215430,1033116.0,2.44,12.93,110494.0,0.85,Republican
1108,KS,Kansas,Union,1940,9.0,860297,843091.0,1.72,9.15,95589.0,0.98,Republican
1109,KY,Kentucky,Border,1940,11.0,970063,1037967.0,1.94,10.32,88188.0,1.07,Democrat
1110,LA,Louisiana,Confederate,1940,10.0,372305,938209.0,0.75,3.96,37230.0,2.52,Democrat
1111,ME,Maine,Union,1940,5.0,320840,468426.0,0.64,3.41,64168.0,1.46,Republican
1112,MD,Maryland,Border,1940,8.0,660117,752533.0,1.32,7.02,82515.0,1.14,Democrat
1113,MA,Massachusetts,Union,1940,17.0,2026993,1601324.0,4.06,21.57,119235.0,0.79,Democrat
1114,MI,Michigan,Union,1940,19.0,2085929,1793899.0,4.18,22.2,109786.0,0.86,Republican
1115,MN,Minnesota,Union,1940,11.0,1251188,1038486.0,2.51,13.31,113744.0,0.83,Democrat
1116,MS,Mississippi,Confederate,1940,9.0,175824,845713.0,0.35,1.87,19536.0,4.81,Democrat
1117,MO,Missouri,Border,1940,15.0,1833729,1411971.0,3.67,19.51,122249.0,0.77,Democrat
1118,MT,Montana,Postbellum,1940,4.0,247873,376767.0,0.5,2.64,61968.0,1.52,Democrat
1119,NE,Nebraska,Postbellum,1940,7.0,615878,658989.0,1.23,6.55,87983.0,1.07,Republican
1120,NV,Nevada,Postbellum,1940,3.0,53174,281822.0,0.11,0.57,17725.0,5.3,Democrat
1121,NH,New Hampshire,Union,1940,4.0,235419,376670.0,0.47,2.51,58855.0,1.6,Democrat
1122,NJ,New Jersey,Union,1940,16.0,1974214,1500403.0,3.96,21.01,123388.0,0.76,Democrat
1123,NM,New Mexico,Postbellum,1940,3.0,183258,282217.0,0.37,1.95,61086.0,1.54,Democrat
1124,NY,New York,Union,1940,47.0,6301596,4411117.0,12.63,67.05,134077.0,0.7,Democrat
1125,NC,North Carolina,Confederate,1940,13.0,822648,1225746.0,1.65,8.75,63281.0,1.49,Democrat
1126,ND,North Dakota,Postbellum,1940,4.0,280775,376238.0,0.56,2.99,70194.0,1.34,Republican
1127,OH,Ohio,Union,1940,26.0,3319912,2456735.0,6.65,35.33,127689.0,0.74,Democrat
1128,OK,Oklahoma,Postbellum,1940,11.0,826212,1032765.0,1.66,8.79,75110.0,1.25,Democrat
1129,OR,Oregon,Union,1940,5.0,481240,471615.0,0.96,5.12,96248.0,0.98,Democrat
1130,PA,Pennsylvania,Union,1940,36.0,4078714,3385333.0,8.17,43.4,113298.0,0.83,Democrat
1131,RI,Rhode Island,Union,1940,4.0,321148,375743.0,0.64,3.42,80287.0,1.17,Democrat
1132,SC,South Carolina,Confederate,1940,8.0,99832,751735.0,0.2,1.06,12479.0,7.53,Democrat
1133,SD,South Dakota,Postbellum,1940,4.0,308427,376281.0,0.62,3.28,77107.0,1.22,Republican
1134,TN,Tennessee,Confederate,1940,11.0,522823,1035190.0,1.05,5.56,47529.0,1.98,Democrat
1135,TX,Texas,Confederate,1940,23.0,1124531,2159100.0,2.25,11.97,48893.0,1.92,Democrat
1136,UT,Utah,Postbellum,1940,4.0,247819,376685.0,0.5,2.64,61955.0,1.52,Democrat
1137,VT,Vermont,Union,1940,3.0,143062,281832.0,0.29,1.52,47687.0,1.97,Republican
1138,VA,Virginia,Confederate,1940,11.0,346607,1032889.0,0.69,3.69,31510.0,2.98,Democrat
1139,WA,Washington,Postbellum,1940,8.0,793833,754141.0,1.59,8.45,99229.0,0.95,Democrat
1140,WV,West Virginia,Border,1940,8.0,868076,755226.0,1.74,9.24,108510.0,0.87,Democrat
1141,WI,Wisconsin,Union,1940,12.0,1405522,1124418.0,2.82,14.96,117127.0,0.8,Democrat
1142,WY,Wyoming,Postbellum,1940,3.0,112240,281722.0,0.22,1.19,37413.0,2.51,Democrat
1143,AL,Alabama,Confederate,1944,11.0,244743,993657.0,0.51,2.71,22249.0,4.06,Democrat
1144,AZ,Arizona,Postbellum,1944,4.0,137634,361977.0,0.29,1.52,34408.0,2.63,Democrat
1145,AR,Arkansas,Confederate,1944,9.0,212954,813484.0,0.44,2.36,23662.0,3.82,Democrat
1146,CA,California,Union,1944,25.0,3520875,2253360.0,7.34,38.97,140835.0,0.64,Democrat
1147,CO,Colorado,Postbellum,1944,6.0,505039,540392.0,1.05,5.59,84173.0,1.07,Republican
1148,CT,Connecticut,Union,1944,8.0,831990,723831.0,1.73,9.21,103999.0,0.87,Democrat
1149,DE,Delaware,Border,1944,3.0,125361,270780.0,0.26,1.39,41787.0,2.16,Democrat
1150,FL,Florida,Confederate,1944,8.0,482592,723888.0,1.01,5.34,60324.0,1.5,Democrat
1151,GA,Georgia,Confederate,1944,12.0,328109,1082760.0,0.68,3.63,27342.0,3.3,Democrat
1152,ID,Idaho,Postbellum,1944,4.0,208321,360395.0,0.43,2.31,52080.0,1.73,Democrat
1153,IL,Illinois,Union,1944,28.0,4036061,2542718.0,8.41,44.67,144145.0,0.63,Democrat
1154,IN,Indiana,Union,1944,13.0,1672091,1170464.0,3.49,18.51,128622.0,0.7,Republican
1155,IA,Iowa,Union,1944,10.0,1052599,905235.0,2.19,11.65,105260.0,0.86,Republican
1156,KS,Kansas,Union,1944,8.0,733776,726438.0,1.53,8.12,91722.0,0.99,Republican
1157,KY,Kentucky,Border,1944,11.0,867921,998109.0,1.81,9.61,78902.0,1.15,Democrat
1158,LA,Louisiana,Confederate,1944,10.0,349383,904902.0,0.73,3.87,34938.0,2.59,Democrat
1159,ME,Maine,Union,1944,5.0,296400,450528.0,0.62,3.28,59280.0,1.52,Republican
1160,MD,Maryland,Border,1944,8.0,608439,724042.0,1.27,6.73,76055.0,1.19,Democrat
1161,MA,Massachusetts,Union,1944,16.0,1960665,1450892.0,4.09,21.7,122542.0,0.74,Democrat
1162,MI,Michigan,Union,1944,19.0,2205223,1720074.0,4.6,24.41,116064.0,0.78,Democrat
1163,MN,Minnesota,Union,1944,11.0,1125529,990466.0,2.35,12.46,102321.0,0.88,Democrat
1164,MS,Mississippi,Confederate,1944,9.0,180080,813962.0,0.38,1.99,20009.0,4.52,Democrat
1165,MO,Missouri,Border,1944,15.0,1572474,1352328.0,3.28,17.4,104832.0,0.86,Democrat
1166,MT,Montana,Postbellum,1944,4.0,207355,360798.0,0.43,2.29,51839.0,1.74,Democrat
1167,NE,Nebraska,Postbellum,1944,6.0,563126,540601.0,1.17,6.23,93854.0,0.96,Republican
1168,NV,Nevada,Postbellum,1944,3.0,54234,271170.0,0.11,0.6,18078.0,5.0,Democrat
1169,NH,New Hampshire,Union,1944,4.0,229625,360511.0,0.48,2.54,57406.0,1.57,Democrat
1170,NJ,New Jersey,Union,1944,16.0,1963761,1453183.0,4.09,21.73,122735.0,0.74,Democrat
1171,NM,New Mexico,Postbellum,1944,4.0,152225,360773.0,0.32,1.68,38056.0,2.37,Democrat
1172,NY,New York,Union,1944,47.0,6316790,4232249.0,13.17,69.91,134400.0,0.67,Democrat
1173,NC,North Carolina,Confederate,1944,14.0,790554,1264886.0,1.65,8.75,56468.0,1.6,Democrat
1174,ND,North Dakota,Postbellum,1944,4.0,220171,361080.0,0.46,2.44,55043.0,1.64,Republican
1175,OH,Ohio,Union,1944,25.0,3153056,2270200.0,6.57,34.9,126122.0,0.72,Republican
1176,OK,Oklahoma,Postbellum,1944,10.0,722636,903295.0,1.51,8.0,72264.0,1.25,Democrat
1177,OR,Oregon,Union,1944,6.0,480147,542566.0,1.0,5.31,80024.0,1.13,Democrat
1178,PA,Pennsylvania,Union,1944,35.0,3794793,3149678.0,7.91,42.0,108423.0,0.83,Democrat
1179,RI,Rhode Island,Union,1944,4.0,299276,362124.0,0.62,3.31,74819.0,1.21,Democrat
1180,SC,South Carolina,Confederate,1944,8.0,103375,722591.0,0.22,1.14,12922.0,6.99,Democrat
1181,SD,South Dakota,Postbellum,1944,4.0,232076,362039.0,0.48,2.57,58019.0,1.56,Republican
1182,TN,Tennessee,Confederate,1944,12.0,510692,1082667.0,1.06,5.65,42558.0,2.12,Democrat
1183,TX,Texas,Confederate,1944,23.0,1150331,2082099.0,2.4,12.73,50014.0,1.81,Democrat
1184,UT,Utah,Postbellum,1944,4.0,248319,362546.0,0.52,2.75,62080.0,1.46,Democrat
1185,VT,Vermont,Union,1944,3.0,125361,270780.0,0.26,1.39,41787.0,2.16,Republican
1186,VA,Virginia,Confederate,1944,11.0,388485,994522.0,0.81,4.3,35317.0,2.56,Democrat
1187,WA,Washington,Postbellum,1944,8.0,856328,719316.0,1.78,9.48,107041.0,0.84,Democrat
1188,WV,West Virginia,Border,1944,8.0,715596,722752.0,1.49,7.92,89450.0,1.01,Democrat
1189,WI,Wisconsin,Union,1944,12.0,1339152,1084713.0,2.79,14.82,111596.0,0.81,Republican
1190,WY,Wyoming,Postbellum,1944,3.0,101340,270578.0,0.21,1.12,33780.0,2.67,Republican
1191,AL,Alabama,Confederate,1948,11.0,214980,1010406.0,0.44,2.34,19544.0,4.7,Dixiecrat
1192,AZ,Arizona,Postbellum,1948,4.0,177065,368295.0,0.36,1.93,44266.0,2.08,Democrat
1193,AR,Arkansas,Confederate,1948,9.0,242475,826840.0,0.5,2.64,26942.0,3.41,Democrat
1194,CA,California,Union,1948,25.0,4021538,2292277.0,8.24,43.76,160862.0,0.57,Democrat
1195,CO,Colorado,Postbellum,1948,6.0,515237,551304.0,1.06,5.61,85873.0,1.07,Democrat
1196,CT,Connecticut,Union,1948,8.0,883518,733320.0,1.81,9.61,110440.0,0.83,Republican
1197,DE,Delaware,Border,1948,3.0,139073,275365.0,0.29,1.51,46358.0,1.98,Republican
1198,FL,Florida,Confederate,1948,8.0,577643,733607.0,1.18,6.29,72205.0,1.27,Democrat
1199,GA,Georgia,Confederate,1948,12.0,418764,1101349.0,0.86,4.56,34897.0,2.63,Democrat
1200,ID,Idaho,Postbellum,1948,4.0,214816,367335.0,0.44,2.34,53704.0,1.71,Democrat
1201,IL,Illinois,Union,1948,28.0,3984046,2589630.0,8.17,43.36,142287.0,0.65,Democrat
1202,IN,Indiana,Union,1948,13.0,1656214,1192474.0,3.39,18.02,127401.0,0.72,Republican
1203,IA,Iowa,Union,1948,10.0,1038264,924055.0,2.13,11.3,103826.0,0.89,Democrat
1204,KS,Kansas,Union,1948,8.0,788819,733602.0,1.62,8.58,98602.0,0.93,Republican
1205,KY,Kentucky,Border,1948,11.0,822658,1011869.0,1.69,8.95,74787.0,1.23,Democrat
1206,LA,Louisiana,Confederate,1948,10.0,416336,920103.0,0.85,4.53,41634.0,2.21,Dixiecrat
1207,ME,Maine,Union,1948,5.0,264787,460729.0,0.54,2.88,52957.0,1.74,Republican
1208,MD,Maryland,Border,1948,8.0,596735,733984.0,1.22,6.49,74592.0,1.23,Republican
1209,MA,Massachusetts,Union,1948,16.0,2107146,1475002.0,4.32,22.93,131697.0,0.7,Democrat
1210,MI,Michigan,Union,1948,19.0,2109609,1750975.0,4.32,22.96,111032.0,0.83,Republican
1211,MN,Minnesota,Union,1948,11.0,1212226,1006148.0,2.48,13.19,110202.0,0.83,Democrat
1212,MS,Mississippi,Confederate,1948,9.0,192190,826417.0,0.39,2.09,21354.0,4.3,Dixiecrat
1213,MO,Missouri,Border,1948,15.0,1578628,1373406.0,3.24,17.18,105242.0,0.87,Democrat
1214,MT,Montana,Postbellum,1948,4.0,224278,367816.0,0.46,2.44,56070.0,1.64,Democrat
1215,NE,Nebraska,Postbellum,1948,6.0,488940,552502.0,1.0,5.32,81490.0,1.13,Republican
1216,NV,Nevada,Postbellum,1948,3.0,62117,275799.0,0.13,0.68,20706.0,4.44,Democrat
1217,NH,New Hampshire,Union,1948,4.0,231440,367990.0,0.47,2.52,57860.0,1.59,Republican
1218,NJ,New Jersey,Union,1948,16.0,1949555,1462166.0,4.0,21.22,121847.0,0.75,Republican
1219,NM,New Mexico,Postbellum,1948,4.0,187063,366643.0,0.38,2.04,46766.0,1.96,Democrat
1220,NY,New York,Union,1948,47.0,6177337,4324136.0,12.66,67.23,131433.0,0.7,Republican
1221,NC,North Carolina,Confederate,1948,14.0,791209,1289671.0,1.62,8.61,56515.0,1.63,Democrat
1222,ND,North Dakota,Postbellum,1948,4.0,220716,368596.0,0.45,2.4,55179.0,1.67,Republican
1223,OH,Ohio,Union,1948,25.0,2936071,2290135.0,6.02,31.95,117443.0,0.78,Democrat
1224,OK,Oklahoma,Postbellum,1948,10.0,721599,916431.0,1.48,7.85,72160.0,1.27,Democrat
1225,OR,Oregon,Union,1948,6.0,524080,550284.0,1.07,5.7,87347.0,1.05,Republican
1226,PA,Pennsylvania,Union,1948,35.0,3735148,3212227.0,7.66,40.65,106719.0,0.86,Republican
1227,RI,Rhode Island,Union,1948,4.0,327702,367026.0,0.67,3.57,81926.0,1.12,Democrat
1228,SC,South Carolina,Confederate,1948,8.0,142571,735666.0,0.29,1.55,17821.0,5.16,Dixiecrat
1229,SD,South Dakota,Postbellum,1948,4.0,250105,367654.0,0.51,2.72,62526.0,1.47,Republican
1230,TN,Tennessee,Confederate,1948,12.0,550283,1100566.0,1.13,5.99,45857.0,2.0,Democrat
1231,TX,Texas,Confederate,1948,23.0,1249577,2111785.0,2.56,13.6,54329.0,1.69,Democrat
1232,UT,Utah,Postbellum,1948,4.0,276305,367486.0,0.57,3.01,69076.0,1.33,Democrat
1233,VT,Vermont,Union,1948,3.0,123382,275142.0,0.25,1.34,41127.0,2.23,Republican
1234,VA,Virginia,Confederate,1948,11.0,419256,1010407.0,0.86,4.56,38114.0,2.41,Democrat
1235,WA,Washington,Postbellum,1948,8.0,905059,733098.0,1.85,9.85,113132.0,0.81,Democrat
1236,WV,West Virginia,Border,1948,8.0,748750,733775.0,1.53,8.15,93594.0,0.98,Democrat
1237,WI,Wisconsin,Union,1948,12.0,1276800,1098048.0,2.62,13.89,106400.0,0.86,Democrat
1238,WY,Wyoming,Postbellum,1948,3.0,101425,275876.0,0.21,1.1,33808.0,2.72,Democrat
1239,AL,Alabama,Confederate,1952,11.0,426120,1278360.0,0.69,3.66,38738.0,3.0,Democrat
1240,AZ,Arizona,Postbellum,1952,4.0,260570,466420.0,0.42,2.24,65142.0,1.79,Republican
1241,AR,Arkansas,Confederate,1952,8.0,404800,931040.0,0.66,3.48,50600.0,2.3,Democrat
1242,CA,California,Union,1952,32.0,5341603,3739122.0,8.65,45.93,166925.0,0.7,Republican
1243,CO,Colorado,Postbellum,1952,6.0,630103,699414.0,1.02,5.42,105017.0,1.11,Republican
1244,CT,Connecticut,Union,1952,8.0,1096911,932374.0,1.78,9.43,137114.0,0.85,Republican
1245,DE,Delaware,Border,1952,3.0,174025,348050.0,0.28,1.5,58008.0,2.0,Republican
1246,FL,Florida,Confederate,1952,10.0,989337,1167418.0,1.6,8.51,98934.0,1.18,Republican
1247,GA,Georgia,Confederate,1952,12.0,655803,1396860.0,1.06,5.64,54650.0,2.13,Democrat
1248,ID,Idaho,Postbellum,1952,4.0,276231,464068.0,0.45,2.38,69058.0,1.68,Republican
1249,IL,Illinois,Union,1952,27.0,4481058,3136741.0,7.26,38.53,165965.0,0.7,Republican
1250,IN,Indiana,Union,1952,13.0,1955325,1505600.0,3.17,16.81,150410.0,0.77,Republican
1251,IA,Iowa,Union,1952,10.0,1268773,1167271.0,2.05,10.91,126877.0,0.92,Republican
1252,KS,Kansas,Union,1952,8.0,896166,932013.0,1.45,7.71,112021.0,1.04,Republican
1253,KY,Kentucky,Border,1952,10.0,993148,1161983.0,1.61,8.54,99315.0,1.17,Democrat
1254,LA,Louisiana,Confederate,1952,10.0,651952,1160475.0,1.06,5.61,65195.0,1.78,Democrat
1255,ME,Maine,Union,1952,5.0,351786,580447.0,0.57,3.02,70357.0,1.65,Republican
1256,MD,Maryland,Border,1952,9.0,902074,1046406.0,1.46,7.76,100230.0,1.16,Republican
1257,MA,Massachusetts,Union,1952,16.0,2383398,1859050.0,3.86,20.49,148962.0,0.78,Republican
1258,MI,Michigan,Union,1952,20.0,2798592,2322831.0,4.53,24.06,139930.0,0.83,Republican
1259,MN,Minnesota,Union,1952,11.0,1379483,1282919.0,2.23,11.86,125408.0,0.93,Republican
1260,MS,Mississippi,Confederate,1952,8.0,285532,930834.0,0.46,2.46,35692.0,3.26,Democrat
1261,MO,Missouri,Border,1952,13.0,1892062,1513650.0,3.06,16.27,145543.0,0.8,Republican
1262,MT,Montana,Postbellum,1952,4.0,265037,466465.0,0.43,2.28,66259.0,1.76,Republican
1263,NE,Nebraska,Postbellum,1952,6.0,609660,695012.0,0.99,5.24,101610.0,1.14,Republican
1264,NV,Nevada,Postbellum,1952,3.0,82190,348486.0,0.13,0.71,27397.0,4.24,Republican
1265,NH,New Hampshire,Union,1952,4.0,272950,464015.0,0.44,2.35,68238.0,1.7,Republican
1266,NJ,New Jersey,Union,1952,16.0,2419554,1863057.0,3.92,20.81,151222.0,0.77,Republican
1267,NM,New Mexico,Postbellum,1952,4.0,238608,465286.0,0.39,2.05,59652.0,1.95,Republican
1268,NY,New York,Union,1952,45.0,7128241,5203616.0,11.54,61.3,158405.0,0.73,Republican
1269,NC,North Carolina,Confederate,1952,14.0,1210910,1622619.0,1.96,10.41,86494.0,1.34,Democrat
1270,ND,North Dakota,Postbellum,1952,4.0,270127,464618.0,0.44,2.32,67532.0,1.72,Republican
1271,OH,Ohio,Union,1952,25.0,3700758,2923599.0,5.99,31.82,148030.0,0.79,Republican
1272,OK,Oklahoma,Postbellum,1952,8.0,948984,930004.0,1.54,8.16,118623.0,0.98,Republican
1273,OR,Oregon,Union,1952,6.0,695059,695059.0,1.13,5.98,115843.0,1.0,Republican
1274,PA,Pennsylvania,Union,1952,32.0,4580969,3710585.0,7.42,39.39,143155.0,0.81,Republican
1275,RI,Rhode Island,Union,1952,4.0,414498,464238.0,0.67,3.56,103624.0,1.12,Republican
1276,SC,South Carolina,Confederate,1952,8.0,341086,931165.0,0.55,2.93,42636.0,2.73,Democrat
1277,SD,South Dakota,Postbellum,1952,4.0,294283,464967.0,0.48,2.53,73571.0,1.58,Republican
1278,TN,Tennessee,Confederate,1952,11.0,892553,1276351.0,1.45,7.67,81141.0,1.43,Republican
1279,TX,Texas,Confederate,1952,24.0,2075946,2781768.0,3.36,17.85,86498.0,1.34,Republican
1280,UT,Utah,Postbellum,1952,4.0,329554,464671.0,0.53,2.83,82388.0,1.41,Republican
1281,VT,Vermont,Union,1952,3.0,153557,348574.0,0.25,1.32,51186.0,2.27,Republican
1282,VA,Virginia,Confederate,1952,12.0,619689,1394300.0,1.0,5.33,51641.0,2.25,Republican
1283,WA,Washington,Postbellum,1952,9.0,1102708,1047573.0,1.79,9.48,122523.0,0.95,Republican
1284,WV,West Virginia,Border,1952,8.0,873548,934696.0,1.41,7.51,109194.0,1.07,Democrat
1285,WI,Wisconsin,Union,1952,12.0,1607370,1398412.0,2.6,13.82,133948.0,0.87,Republican
1286,WY,Wyoming,Postbellum,1952,3.0,129251,348978.0,0.21,1.11,43084.0,2.7,Republican
1287,AL,Alabama,Confederate,1956,11.0,496698,1286448.0,0.8,4.25,45154.0,2.59,Democrat
1288,AZ,Arizona,Postbellum,1956,4.0,290173,467179.0,0.47,2.48,72543.0,1.61,Republican
1289,AR,Arkansas,Confederate,1956,8.0,406572,935116.0,0.66,3.48,50822.0,2.3,Democrat
1290,CA,California,Union,1956,32.0,5466355,3717121.0,8.81,46.8,170824.0,0.68,Republican
1291,CO,Colorado,Postbellum,1956,6.0,663074,702858.0,1.07,5.68,110512.0,1.06,Republican
1292,CT,Connecticut,Union,1956,8.0,1117121,938382.0,1.8,9.56,139640.0,0.84,Republican
1293,DE,Delaware,Border,1956,3.0,177988,350636.0,0.29,1.52,59329.0,1.97,Republican
1294,FL,Florida,Confederate,1956,10.0,1124220,1169189.0,1.81,9.63,112422.0,1.04,Republican
1295,GA,Georgia,Confederate,1956,12.0,663480,1399943.0,1.07,5.68,55290.0,2.11,Democrat
1296,ID,Idaho,Postbellum,1956,4.0,272989,466811.0,0.44,2.34,68247.0,1.71,Republican
1297,IL,Illinois,Union,1956,27.0,4407407,3173333.0,7.11,37.73,163237.0,0.72,Republican
1298,IN,Indiana,Union,1956,13.0,1974607,1520447.0,3.18,16.91,151893.0,0.77,Republican
1299,IA,Iowa,Union,1956,10.0,1234564,1172836.0,1.99,10.57,123456.0,0.95,Republican
1300,KS,Kansas,Union,1956,8.0,866243,935542.0,1.4,7.42,108280.0,1.08,Republican
1301,KY,Kentucky,Border,1956,10.0,1053805,1169724.0,1.7,9.02,105380.0,1.11,Republican
1302,LA,Louisiana,Confederate,1956,10.0,617544,1167158.0,1.0,5.29,61754.0,1.89,Republican
1303,ME,Maine,Union,1956,5.0,351706,583832.0,0.57,3.01,70341.0,1.66,Republican
1304,MD,Maryland,Border,1956,9.0,932351,1053557.0,1.5,7.98,103595.0,1.13,Republican
1305,MA,Massachusetts,Union,1956,16.0,2348506,1878805.0,3.79,20.11,146782.0,0.8,Republican
1306,MI,Michigan,Union,1956,20.0,3080468,2341156.0,4.97,26.37,154023.0,0.76,Republican
1307,MN,Minnesota,Union,1956,11.0,1340005,1286405.0,2.16,11.47,121819.0,0.96,Republican
1308,MS,Mississippi,Confederate,1956,8.0,248149,935522.0,0.4,2.12,31019.0,3.77,Democrat
1309,MO,Missouri,Border,1956,13.0,1832562,1521026.0,2.95,15.69,140966.0,0.83,Democrat
1310,MT,Montana,Postbellum,1956,4.0,271171,466414.0,0.44,2.32,67793.0,1.72,Republican
1311,NE,Nebraska,Postbellum,1956,6.0,577137,698336.0,0.93,4.94,96190.0,1.21,Republican
1312,NV,Nevada,Postbellum,1956,3.0,96689,350014.0,0.16,0.83,32230.0,3.62,Republican
1313,NH,New Hampshire,Union,1956,4.0,266994,467240.0,0.43,2.29,66748.0,1.75,Republican
1314,NJ,New Jersey,Union,1956,16.0,2484312,1863234.0,4.01,21.27,155270.0,0.75,Republican
1315,NM,New Mexico,Postbellum,1956,4.0,253926,467224.0,0.41,2.17,63482.0,1.84,Republican
1316,NY,New York,Union,1956,45.0,7092860,5248716.0,11.44,60.73,157619.0,0.74,Republican
1317,NC,North Carolina,Confederate,1956,14.0,1165592,1631829.0,1.88,9.98,83257.0,1.4,Democrat
1318,ND,North Dakota,Postbellum,1956,4.0,253991,467343.0,0.41,2.17,63498.0,1.84,Republican
1319,OH,Ohio,Union,1956,25.0,3702265,2924789.0,5.97,31.7,148091.0,0.79,Republican
1320,OK,Oklahoma,Postbellum,1956,8.0,859350,936692.0,1.39,7.36,107419.0,1.09,Republican
1321,OR,Oregon,Union,1956,6.0,735597,698817.0,1.19,6.3,122600.0,0.95,Republican
1322,PA,Pennsylvania,Union,1956,32.0,4576503,3752732.0,7.38,39.18,143016.0,0.82,Republican
1323,RI,Rhode Island,Union,1956,4.0,387609,469007.0,0.62,3.32,96902.0,1.21,Republican
1324,SC,South Carolina,Confederate,1956,8.0,300583,934813.0,0.48,2.57,37573.0,3.11,Democrat
1325,SD,South Dakota,Postbellum,1956,4.0,293857,467233.0,0.47,2.52,73464.0,1.59,Republican
1326,TN,Tennessee,Confederate,1956,11.0,939404,1286983.0,1.51,8.04,85400.0,1.37,Republican
1327,TX,Texas,Confederate,1956,24.0,1955545,2796429.0,3.15,16.74,81481.0,1.43,Republican
1328,UT,Utah,Postbellum,1956,4.0,333995,467593.0,0.54,2.86,83499.0,1.4,Republican
1329,VT,Vermont,Union,1956,3.0,152978,350320.0,0.25,1.31,50993.0,2.29,Republican
1330,VA,Virginia,Confederate,1956,12.0,697978,1402936.0,1.13,5.98,58165.0,2.01,Republican
1331,WA,Washington,Postbellum,1956,9.0,1150889,1047309.0,1.86,9.85,127877.0,0.91,Republican
1332,WV,West Virginia,Border,1956,8.0,830831,930531.0,1.34,7.11,103854.0,1.12,Republican
1333,WI,Wisconsin,Union,1956,12.0,1550558,1395502.0,2.5,13.28,129213.0,0.9,Republican
1334,WY,Wyoming,Postbellum,1956,3.0,124127,350038.0,0.2,1.06,41376.0,2.82,Republican
1335,AL,Alabama,Confederate,1960,11.0,564478,1411195.0,0.82,4.4,51316.0,2.5,Democrat
1336,AK,Alaska,Postbellum,1960,3.0,60762,384623.0,0.09,0.47,20254.0,6.33,Republican
1337,AZ,Arizona,Postbellum,1960,4.0,398491,514053.0,0.58,3.11,99623.0,1.29,Republican
1338,AR,Arkansas,Confederate,1960,8.0,428509,1024137.0,0.62,3.34,53564.0,2.39,Democrat
1339,CA,California,Union,1960,32.0,6506578,4099144.0,9.45,50.76,203331.0,0.63,Republican
1340,CO,Colorado,Postbellum,1960,6.0,736246,765696.0,1.07,5.74,122708.0,1.04,Republican
1341,CT,Connecticut,Union,1960,8.0,1222883,1027222.0,1.78,9.54,152860.0,0.84,Democrat
1342,DE,Delaware,Border,1960,3.0,196683,385499.0,0.29,1.53,65561.0,1.96,Democrat
1343,FL,Florida,Confederate,1960,10.0,1544176,1281666.0,2.24,12.05,154418.0,0.83,Republican
1344,GA,Georgia,Confederate,1960,12.0,733349,1540033.0,1.07,5.72,61112.0,2.1,Democrat
1345,HI,Hawaii,Postbellum,1960,3.0,184705,384186.0,0.27,1.44,61568.0,2.08,Democrat
1346,ID,Idaho,Postbellum,1960,4.0,300450,513770.0,0.44,2.34,75112.0,1.71,Republican
1347,IL,Illinois,Union,1960,27.0,4757409,3472909.0,6.91,37.12,176200.0,0.73,Democrat
1348,IN,Indiana,Union,1960,13.0,2135360,1665581.0,3.1,16.66,164258.0,0.78,Republican
1349,IA,Iowa,Union,1960,10.0,1273810,1286548.0,1.85,9.94,127381.0,1.01,Republican
1350,KS,Kansas,Union,1960,8.0,928825,1021708.0,1.35,7.25,116103.0,1.1,Republican
1351,KY,Kentucky,Border,1960,10.0,1124462,1281887.0,1.63,8.77,112446.0,1.14,Republican
1352,LA,Louisiana,Confederate,1960,10.0,807891,1284547.0,1.17,6.3,80789.0,1.59,Democrat
1353,ME,Maine,Union,1960,5.0,421767,641086.0,0.61,3.29,84353.0,1.52,Republican
1354,MD,Maryland,Border,1960,9.0,1055349,1150330.0,1.53,8.23,117261.0,1.09,Democrat
1355,MA,Massachusetts,Union,1960,16.0,2469480,2049668.0,3.59,19.27,154342.0,0.83,Democrat
1356,MI,Michigan,Union,1960,20.0,3318097,2554935.0,4.82,25.89,165905.0,0.77,Democrat
1357,MN,Minnesota,Union,1960,11.0,1541887,1403117.0,2.24,12.03,140172.0,0.91,Democrat
1358,MS,Mississippi,Confederate,1960,8.0,298171,1025708.0,0.43,2.33,37271.0,3.44,Democrat-Unpledged
1359,MO,Missouri,Border,1960,13.0,1934422,1663603.0,2.81,15.09,148802.0,0.86,Democrat
1360,MT,Montana,Postbellum,1960,4.0,277579,513521.0,0.4,2.17,69395.0,1.85,Republican
1361,NE,Nebraska,Postbellum,1960,6.0,613095,766369.0,0.89,4.78,102182.0,1.25,Republican
1362,NV,Nevada,Postbellum,1960,3.0,107267,384016.0,0.16,0.84,35756.0,3.58,Democrat
1363,NH,New Hampshire,Union,1960,4.0,295761,511667.0,0.43,2.31,73940.0,1.73,Republican
1364,NJ,New Jersey,Union,1960,16.0,2773111,2052102.0,4.03,21.63,173319.0,0.74,Democrat
1365,NM,New Mexico,Postbellum,1960,4.0,311107,513327.0,0.45,2.43,77777.0,1.65,Democrat
1366,NY,New York,Union,1960,45.0,7291079,5759952.0,10.59,56.88,162024.0,0.79,Democrat
1367,NC,North Carolina,Confederate,1960,14.0,1368556,1792808.0,1.99,10.68,97754.0,1.31,Democrat
1368,ND,North Dakota,Postbellum,1960,4.0,278431,512313.0,0.4,2.17,69608.0,1.84,Republican
