Abbrev,State,Census Grouping,Civil War Grouping,1804 EC votes,1804 Votes counted,1804 Vote weight,1804 Vote margin,1804 Swing weight,1804 Party,1808 EC votes,1808 Votes counted,1808 Vote weight,1808 Vote margin,1808 Swing weight,1808 Party,1812 EC votes,1812 Votes counted,1812 Vote weight,1812 Vote margin,1812 Swing weight,1812 Party,1816 EC votes,1816 Votes counted,1816 Vote weight,1816 Vote margin,1816 Swing weight,1816 Party,1820 EC votes,1820 Votes counted,1820 Vote weight,1820 Party,1824 EC votes,1824 Votes counted,1824 Vote weight,1824 Party,1828 EC votes,1828 Votes counted,1828 Vote weight,1828 Vote margin,1828 Swing weight,1828 Party,1832 EC votes,1832 Votes counted,1832 Vote weight,1832 Vote margin,1832 Swing weight,1832 Party,1836 EC votes,1836 Votes counted,1836 Vote weight,1836 Vote margin,1836 Swing weight,1836 Party,1840 EC votes,1840 Votes counted,1840 Vote weight,1840 Vote margin,1840 Swing weight,1840 Party,1844 EC votes,1844 Votes counted,1844 Vote weight,1844 Vote margin,1844 Swing weight,1844 Party,1848 EC votes,1848 Votes counted,1848 Vote weight,1848 Vote margin,1848 Swing weight,1848 Party,1852 EC votes,1852 Votes counted,1852 Vote weight,1852 Vote margin,1852 Swing weight,1852 Party,1856 EC votes,1856 Votes counted,1856 Vote weight,1856 Vote margin,1856 Swing weight,1856 Party,1860 EC votes,1860 Votes counted,1860 Vote weight,1860 Vote margin,1860 Swing weight,1860 Party,1864 EC votes,1864 Votes counted,1864 Vote weight,1864 Vote margin,1864 Swing weight,1864 Party,1868 EC votes,1868 Votes counted,1868 Vote weight,1868 Vote margin,1868 Swing weight,1868 Party,1872 EC votes,1872 Votes counted,1872 Vote weight,1872 Vote margin,1872 Swing weight,1872 Party,1876 EC votes,1876 Votes counted,1876 Vote weight,1876 Vote margin,1876 Swing weight,1876 Party,1880 EC votes,1880 Votes counted,1880 Vote weight,1880 Vote margin,1880 Swing weight,1880 Party,1884 EC votes,1884 Votes counted,1884 Vote weight,1884 Vote margin,1884 Swing weight,1884 Party,1888 EC votes,1888 Votes counted,1888 Vote weight,1888 Vote margin,1888 Swing weight,1888 Party,1892 EC votes,1892 Votes counted,1892 Vote weight,1892 Vote margin,1892 Swing weight,1892 Party,1896 EC votes,1896 Votes counted,1896 Vote weight,1896 Vote margin,1896 Swing weight,1896 Party,1900 EC votes,1900 Votes counted,1900 Vote weight,1900 Vote margin,1900 Swing weight,1900 Party,1904 EC votes,1904 Votes counted,1904 Vote weight,1904 Vote margin,1904 Swing weight,1904 Party,1908 EC votes,1908 Votes counted,1908 Vote weight,1908 Vote margin,1908 Swing weight,1908 Party,1912 EC votes,1912 Votes counted,1912 Vote weight,1912 Vote margin,1912 Swing weight,1912 Party,1916 EC votes,1916 Votes counted,1916 Vote weight,1916 Vote margin,1916 Swing weight,1916 Party,1920 EC votes,1920 Votes counted,1920 Vote weight,1920 Vote margin,1920 Swing weight,1920 Party,1924 EC votes,1924 Votes counted,1924 Vote weight,1924 Vote margin,1924 Swing weight,1924 Party,1928 EC votes,1928 Votes counted,1928 Vote weight,1928 Vote margin,1928 Swing weight,1928 Party,1932 EC votes,1932 Votes counted,1932 Vote weight,1932 Vote margin,1932 Swing weight,1932 Party,1936 EC votes,1936 Votes counted,1936 Vote weight,1936 Vote margin,1936 Swing weight,1936 Party,1940 EC votes,1940 Votes counted,1940 Vote weight,1940 Vote margin,1940 Swing weight,1940 Party,1944 EC votes,1944 Votes counted,1944 Vote weight,1944 Vote margin,1944 Swing weight,1944 Party,1948 EC votes,1948 Votes counted,1948 Vote weight,1948 Vote margin,1948 Swing weight,1948 Party,1952 EC votes,1952 Votes counted,1952 Vote weight,1952 Vote margin,1952 Swing weight,1952 Party,1956 EC votes,1956 Votes counted,1956 Vote weight,1956 Vote margin,1956 Swing weight,1956 Party,1960 EC votes,1960 Votes counted,1960 Vote weight,1960 Vote margin,1960 Swing weight,1960 Party,1964 EC votes,1964 Votes counted,1964 Vote weight,1964 Vote margin,1964 Swing weight,1964 Party,1968 EC votes,1968 Votes counted,1968 Vote weight,1968 Vote margin,1968 Swing weight,1968 Party,1972 EC votes,1972 Votes counted,1972 Vote weight,1972 Vote margin,1972 Swing weight,1972 Party,1976 EC votes,1976 Votes counted,1976 Vote weight,1976 Vote margin,1976 Swing weight,1976 Party,1980 EC votes,1980 Votes counted,1980 Vote weight,1980 Vote margin,1980 Swing weight,1980 Party,1984 EC votes,1984 Votes counted,1984 Vote weight,1984 Vote margin,1984 Swing weight,1984 Party,1988 EC votes,1988 Votes counted,1988 Vote weight,1988 Vote margin,1988 Swing weight,1988 Party,1992 EC votes,1992 Votes counted,1992 Vote weight,1992 Vote margin,1992 Swing weight,1992 Party,1996 EC votes,1996 Votes counted,1996 Vote weight,1996 Vote margin,1996 Swing weight,1996 Party,2000 EC votes,2000 Votes counted,2000 Vote weight,2000 Vote margin,2000 Swing weight,2000 Party,2004 EC votes,2004 Votes counted,2004 Vote weight,2004 Vote margin,2004 Swing weight,2004 Party,2008 EC votes,2008 Votes counted,2008 Vote weight,2008 Vote margin,2008 Swing weight,2008 Party,2012 EC votes,2012 Votes counted,2012 Vote weight,2012 Vote margin,2012 Swing weight,2012 Party,2016 EC votes,2016 Votes counted,2016 Vote weight,2016 Vote margin,2016 Swing weight,2016 Party,2020 EC votes,2020 Votes counted,2020 Vote weight,2020 Vote margin,2020 Swing weight,2020 Party
MD,Maryland,South,Border,11,9599,1.34,5009,,split,11,24222,0.84,6450,,split,11,27138,0.95,954,,split,11,10496,1.01,1492,7.09,Democratic-Republican,11,5044,1.44,Democratic-Republican,11,33214,0.64,split,11,45796,1.12,-232,-208.55,National Republican,10,38316,1.20,-4,-11082.11,National Republican,10,48119,1.10,-3585,-14.26,Whig-Harrison,10,62280,1.37,4776,17.18,Whig,8,68690,1.18,-3278,-24.00,Whig,8,72359,1.13,3174,25.00,Whig,8,75120,1.17,4945,17.27,Democrat,8,86860,1.30,-8329,-13.15,American,8,92502,1.37,-722,-171.19,Democrat-Breckenridge,7,72892,1.66,7414,16.34,Republican,7,92795,1.48,-31919,-4.27,Democrat,8,134447,1.05,-927,-152.60,Democrat,8,163759,1.12,-19799,-9.22,Democrat,8,173039,1.16,-15191,-13.16,Democrat,8,186019,1.08,11118,18.05,Democrat,8,210941,1.08,-6202,-36.63,Republican,8,213275,1.02,21130,10.29,Democrat,8,250249,1.00,32809,7.60,Republican,8,264434,0.95,13947,17.96,Republican,8,224229,1.01,51,4457.11,Republican,8,238531,1.03,605,407.62,Republican,8,231981,0.98,54885,4.13,Democrat,8,262039,1.07,21012,13.29,Democrat,8,428443,0.94,55491,7.27,Republican,8,358630,1.22,14342,30.57,Republican,8,528348,1.05,77853,7.12,Republican,8,511054,1.17,130130,4.60,Democrat,8,624896,1.10,158177,4.35,Democrat,8,660117,1.14,115012,6.54,Democrat,8,608439,1.19,22541,32.07,Democrat,8,596735,1.23,-8293,-88.64,Republican,9,902074,1.16,104087,10.06,Republican,9,932351,1.13,187125,5.62,Republican,9,1055349,1.09,76270,15.13,Democrat,10,1116457,1.18,345417,3.80,Democrat,10,1235039,1.10,-20315,-66.97,Democrat,10,1353812,1.07,323524,4.47,Republican,10,1432273,1.06,86951,17.43,Democrat,10,1540496,1.04,-45555,-35.30,Democrat,10,1675873,1.03,91983,18.72,Republican,10,1714358,0.99,49863,34.14,Republican,10,1985046,0.98,281477,6.90,Democrat,10,1780870,1.00,284677,6.29,Democrat,10,2025480,0.97,-331985,-5.90,Democrat,10,2386678,0.95,-309790,-7.34,Democrat,10,2631596,0.93,669605,3.65,Democrat,10,2707327,0.89,705975,3.40,Democrat,10,2781446,0.91,-734759,-3.46,Democrat,10,3037030,0.97,1008609,2.92,Democrat
MA,Massachusetts,Northeast,Union,19,55243,0.40,3955,5.63,Democratic-Republican,19,NoPop,,NoPop,,Federalist,22,77953,0.66,-23325,-2.21,Fusion,22,NoPop,,NoPop,,Federalist,15,17619,0.56,Democratic-Republican,15,42056,0.69,Democratic-Republican-Adams,15,39074,1.78,-23824,-2.77,National Republican,14,67619,0.95,-10737,-5.78,National Republican,14,74687,1.00,-7715,-9.28,Whig-Webster,14,126825,0.94,20497,5.61,Whig,12,132037,0.92,-14023,-8.41,Whig,12,134748,0.91,22739,5.24,Whig,13,127103,1.12,-8114,-17.10,Whig,13,170048,1.08,-68928,-2.58,Whig,13,169876,1.21,72314,2.78,Republican,12,175487,1.18,77997,2.66,Republican,12,195508,1.21,77276,3.02,Republican,13,192864,1.19,74260,3.10,Republican,13,259620,1.15,41287,7.18,Republican,13,282125,1.15,53515,6.07,Republican,14,303383,1.16,-24372,-14.41,Republican,14,344243,1.16,32302,12.31,Democrat,15,391028,1.04,-26001,-15.68,Republican,15,401568,1.16,173265,2.70,Republican,15,414804,1.13,81869,5.74,Republican,16,445109,1.02,92076,4.94,Republican,16,456919,1.08,110423,4.47,Republican,18,488056,1.04,17460,29.21,Democrat,18,531823,1.18,-20899,-30.07,Republican,18,993718,0.91,404462,2.24,Republican,18,1129837,0.87,422645,2.33,Republican,18,1577823,0.79,-17192,-72.57,Democrat,17,1580114,0.81,63189,20.14,Democrat,17,1840357,0.79,174103,8.39,Democrat,17,2026993,0.79,136822,11.68,Democrat,16,1960665,0.74,113946,12.69,Democrat,16,2107146,0.70,242418,6.06,Democrat,16,2383398,0.78,208800,8.91,Republican,16,2348506,0.80,445007,4.20,Republican,16,2469480,0.83,510424,4.02,Democrat,14,2344798,0.78,1236695,1.49,Democrat,14,2331752,0.82,-702374,-2.71,Democrat,14,2458756,0.82,-220462,-9.18,Democrat,14,2547557,0.83,399199,5.31,Democrat,14,2524298,0.89,3829,587.93,Republican,13,2559453,0.87,71330,31.39,Republican,13,2632805,0.84,-206762,-10.70,Democrat,12,2773574,0.84,513613,4.53,Democrat,12,2556785,0.84,853656,2.52,Democrat,12,2702984,0.87,-737985,-3.19,Democrat,12,2912388,0.94,-732691,-3.72,Democrat,12,3080985,0.95,795243,3.68,Democrat,11,3167767,0.83,732976,3.60,Democrat,11,3325046,0.84,-904303,-3.09,Democrat,11,3631402,0.89,1215000,2.67,Democrat
MI,Michigan,Midwest,Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12667,1.26,1577,9.72,Democrat,3,44350,0.58,1837,13.40,Whig,5,55751,0.91,3362,14.62,Democrat,5,65082,0.79,-6795,-7.30,Democrat,6,82939,0.79,7982,8.02,Democrat,6,125561,0.67,-19623,-4.19,Whig,6,154549,0.62,23561,3.93,Republican,8,165279,0.84,16987,8.15,Republican,8,225620,0.70,31500,4.94,Republican,11,221455,0.88,60207,3.23,Republican,11,318450,0.79,25216,9.95,Republican,11,352777,0.78,53744,5.11,Republican,13,401186,0.81,-3308,-98.59,Republican,13,475356,0.78,22918,16.11,Democrat,14,466045,0.82,-21084,-18.05,Republican,14,545585,0.80,56170,7.77,Republican,14,544379,0.81,104584,4.19,Republican,14,525027,0.76,229565,1.73,Republican,14,541830,0.80,159809,2.70,Republican,15,550976,0.77,-62340,-6.82,Progressive,15,650973,0.80,-52322,-10.01,Republican,15,1048411,0.72,529415,1.43,Republican,15,1160419,0.71,722272,1.14,Republican,15,1372082,0.76,568634,1.83,Republican,19,1664765,0.85,131806,10.79,Democrat,19,1805098,0.90,317061,5.15,Democrat,19,2085929,0.86,-6926,-257.81,Republican,19,2205223,0.78,22476,76.38,Democrat,19,2109609,0.83,-35147,-49.67,Republican,20,2798592,0.83,320872,7.25,Republican,20,3080468,0.76,353749,6.60,Republican,20,3318097,0.77,66841,38.35,Democrat,21,3203102,0.86,1076463,2.56,Democrat,21,3306250,0.86,-222417,-12.85,Democrat,21,3490325,0.87,502286,6.04,Republican,21,3653749,0.87,-197028,-16.15,Republican,21,3909725,0.86,253693,13.31,Republican,20,3801658,0.91,721933,4.77,Republican,20,3669163,0.93,289703,11.75,Republican,18,4274673,0.82,316242,11.05,Democrat,18,3848844,0.84,508441,6.34,Democrat,18,4232501,0.83,-217279,-16.23,Democrat,17,4839252,0.80,-165437,-23.36,Democrat,17,5001766,0.83,823940,5.04,Democrat,16,4730961,0.81,449313,8.54,Democrat,16,4799284,0.85,10704,379.72,Republican,16,5539302,0.85,154188,30.55,Democrat
MN,Minnesota,Midwest,Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,34787,1.82,10149,6.09,Republican,4,42407,1.63,7655,9.04,Republican,4,71818,1.10,15626,4.98,Republican,5,90919,0.97,20497,4.31,Republican,5,124075,0.93,24368,4.68,Republican,5,150771,0.83,40587,3.08,Republican,7,190017,0.92,-41620,-4.22,Republican,7,263285,0.76,38107,5.22,Democrat,9,267238,0.92,-21903,-11.17,Republican,9,341762,0.82,53768,5.22,Republican,9,316311,0.89,77560,3.63,Republican,11,292860,1.07,161464,1.94,Republican,11,331304,1.02,86442,3.92,Republican,12,334219,1.02,-19430,-17.50,Progressive,12,387364,1.08,-392,-1068.64,Republican,12,735838,0.82,376427,1.61,Republican,12,822146,0.80,81567,8.06,Republican,12,970976,0.86,164526,5.06,Republican,11,1002843,0.82,236847,3.48,Democrat,11,1129975,0.84,348350,2.71,Democrat,11,1251188,0.83,47922,21.57,Democrat,11,1125529,0.88,62448,15.92,Democrat,11,1212226,0.83,209349,4.83,Democrat,11,1379483,0.93,154753,8.27,Republican,11,1340005,0.96,101777,12.62,Republican,11,1541887,0.91,22018,64.04,Democrat,10,1554462,0.84,431493,3.04,Democrat,10,1588510,0.86,-199095,-6.83,Democrat,10,1741652,0.83,95923,15.06,Republican,10,1949931,0.78,251045,6.04,Democrat,10,2051953,0.78,-80933,-19.87,Democrat,10,2084449,0.83,-3761,-457.90,Democrat,10,2096790,0.81,-147134,-11.57,Democrat,10,2347948,0.83,273156,7.11,Democrat,10,2192640,0.82,353962,5.06,Democrat,10,2438685,0.80,-58607,-33.43,Democrat,10,2828387,0.80,-98319,-23.12,Democrat,10,2910369,0.84,297945,8.19,Democrat,10,2936561,0.82,225942,10.62,Democrat,10,2944813,0.86,-44765,-56.75,Democrat,10,3277171,0.90,233012,12.63,Democrat
MS,Mississippi,South,Confederate,,,,,,,,,,,,,,,,,,,,,,,,,3,490,4.03,Democratic-Republican,3,4894,1.18,Democratic-Republican-Jackson,3,8344,1.67,5182,2.55,Democrat,4,5750,3.21,5750,3.08,Democrat,4,20079,1.06,515,39.70,Democrat,4,36525,0.93,2505,13.10,Whig,6,45004,1.36,6688,8.82,Democrat,6,52456,1.17,-634,-93.88,Democrat,7,44454,1.73,9338,8.00,Democrat,7,59647,1.65,11265,8.51,Democrat,7,69095,1.61,-15723,-6.88,Democrat-Breckenridge,,,,,,,,,,,,,8,129457,1.09,34893,4.05,Republican,8,164776,1.12,-59570,-3.06,Democrat,8,116401,1.72,-40896,-4.89,Democrat,9,120688,1.87,34618,6.52,Democrat,9,115786,2.21,-55356,-4.62,Republican,9,52519,4.66,29912,8.18,Democrat,9,69591,4.03,-58536,-4.79,Democrat,9,59055,4.77,-45999,-6.13,Democrat,10,58721,4.84,-50200,-5.66,Democrat,10,66904,4.61,-55924,-5.51,Democrat,10,64483,4.39,53775,5.27,Democrat,10,86679,4.03,76169,4.58,Democrat,10,82492,6.11,-57701,-8.74,Democrat,10,112462,4.87,-91980,-5.96,Democrat,10,151692,4.57,-97386,-7.12,Democrat,9,146034,4.61,134988,4.99,Democrat,9,162090,4.77,152875,5.06,Democrat,9,175824,4.81,160903,5.26,Democrat,9,180080,4.52,156878,5.18,Democrat,9,192190,4.30,-148154,-5.58,Dixiecrat,8,285532,3.26,-59600,-15.61,Democrat,8,248149,3.77,-83813,-11.15,Democrat,8,298171,3.44,7886,130.03,Democrat-Unpledged,7,409146,2.25,-303910,-3.02,Republican,7,654509,1.46,-264705,-3.60,American Independent,7,645963,1.57,378343,2.67,Republican,7,769360,1.38,14463,73.35,Democrat,7,892620,1.26,11808,95.32,Republican,7,940192,1.28,229285,5.26,Republican,7,931527,1.28,193969,6.14,Republican,7,981793,1.38,-87535,-15.52,Republican,7,893857,1.40,-45816,-27.34,Republican,7,994184,1.38,168230,8.15,Republican,6,1152145,1.18,226887,6.01,Republican,6,1289865,1.14,-169935,-8.62,Republican,6,1285584,1.12,-147797,-9.74,Republican,6,1209357,1.26,215583,7.07,Republican,6,1313894,1.34,-217281,-8.13,Republican
MO,Missouri,Midwest,Border,,,,,,,,,,,,,,,,,,,,,,,,,3,NoPop,,Democratic-Republican,3,3273,1.77,Democratic-Republican-Clay,3,11654,1.20,4810,2.74,Democrat,4,5192,3.55,5192,3.42,Democrat,4,18332,1.16,3658,5.59,Democrat,4,52923,0.64,-7015,-4.68,Democrat,7,72522,0.98,10122,6.80,Democrat,7,72748,0.99,-7406,-9.38,Democrat,9,68801,1.44,8833,10.88,Democrat,9,106486,1.19,9442,13.05,Democrat,9,165563,0.86,-429,-324.12,Democrat-Douglas,11,104346,1.82,41154,4.63,Republican,11,152488,1.42,21232,10.08,Republican,15,273059,0.97,-32238,-8.23,Democrat,15,350610,0.98,-57059,-6.00,Democrat,15,400311,0.94,-55042,-6.81,Democrat,16,441268,0.91,32942,12.19,Democrat,16,521360,0.87,-25691,-17.69,Republican,17,541583,0.85,40754,11.34,Democrat,17,673906,0.79,-58727,-9.03,Democrat,17,683656,0.78,-37830,-14.07,Democrat,18,643861,0.79,25137,20.35,Republican,18,715927,0.78,629,882.16,Republican,18,698566,0.73,122925,4.15,Democrat,18,786769,0.80,28693,21.90,Democrat,18,1332800,0.68,152363,5.95,Republican,18,1307958,0.75,75733,13.02,Republican,18,1500721,0.83,171518,7.27,Republican,15,1609894,0.70,460693,2.44,Democrat,15,1828635,0.71,413152,3.12,Democrat,15,1833729,0.77,87467,16.12,Democrat,15,1572474,0.86,46280,29.28,Democrat,15,1578628,0.87,262276,5.26,Democrat,13,1892062,0.80,29599,51.08,Republican,13,1832562,0.83,-3984,-381.13,Democrat,13,1934422,0.86,9980,166.97,Democrat,12,1817879,0.87,510809,3.08,Democrat,12,1809502,0.90,20488,79.69,Republican,12,1852589,0.94,455527,3.81,Republican,12,1953600,0.93,70944,25.63,Democrat,12,2099824,0.92,142999,13.49,Republican,11,2122771,0.89,425605,4.45,Republican,11,2093228,0.89,83334,22.47,Republican,11,2391270,0.89,242714,8.80,Democrat,11,2158065,0.91,135919,14.48,Democrat,11,2359892,0.91,78786,27.35,Republican,11,2731364,0.92,196542,12.72,Republican,11,2925205,0.92,-3903,-687.90,Republican,10,2757323,0.87,-258644,-9.28,Republican,10,2808605,0.90,523443,4.85,Republican,10,3025962,0.97,-465722,-6.32,Republican
MT,Montana,West,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,44461,1.83,-1181,-69.04,Republican,3,53330,1.75,-32119,-2.91,Democrat,3,63856,1.47,-11902,-7.89,Democrat,3,64444,1.32,13159,6.48,Republican,3,68822,1.34,3007,30.75,Republican,4,79826,1.42,5485,20.66,Democrat,4,177679,0.79,34313,4.07,Democrat,4,179006,1.13,52058,3.87,Republican,4,174423,1.26,8015,27.35,Republican,4,194108,1.43,34722,7.99,Republican,4,216479,1.38,49208,6.09,Democrat,4,230512,1.49,96092,3.58,Democrat,4,247873,1.52,46119,8.15,Democrat,4,207355,1.74,19393,18.64,Democrat,4,224278,1.64,22301,16.48,Democrat,4,265037,1.76,51181,9.09,Republican,4,271171,1.72,38695,12.07,Republican,4,277579,1.85,6950,73.77,Republican,4,278628,1.88,51214,10.25,Democrat,4,274404,1.98,24718,22.02,Republican,4,317603,1.82,63779,9.06,Republican,4,328734,1.84,-24444,-24.80,Republican,4,363952,1.77,88782,7.24,Republican,4,384377,1.79,85708,8.04,Republican,4,365674,1.86,21476,31.71,Republican,3,410583,1.42,10300,56.53,Democrat,3,407261,1.32,-11730,-45.77,Republican,3,410997,1.43,103052,5.70,Republican,3,450445,1.51,92353,7.38,Republican,3,490302,1.49,-11096,-65.99,Republican,3,484048,1.49,-66089,-10.89,Republican,3,497147,1.53,101531,7.51,Republican,3,603674,1.46,-98816,-8.94,Republican
NE,Nebraska,Midwest,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15291,3.86,4253,13.73,Republican,3,25932,2.05,10726,4.95,Republican,3,49328,1.40,14502,4.72,Republican,3,87452,0.86,26456,2.83,Republican,5,134202,0.93,-22521,-5.57,Republican,5,202632,0.70,27873,5.09,Democrat,8,200192,1.09,-4079,-53.31,Republican,8,223182,1.12,-11943,-20.89,Democrat,8,241430,1.04,7822,32.03,Republican,8,225732,1.01,85637,2.65,Republican,8,266799,0.92,-4102,-60.12,Democrat,8,249483,0.91,36327,6.24,Democrat,8,287315,0.97,41056,6.80,Democrat,8,382743,1.05,127890,3.15,Republican,8,464173,0.94,81296,5.39,Republican,8,547144,1.01,147786,3.75,Republican,7,570137,0.92,157905,3.32,Democrat,7,608023,0.99,99714,6.03,Democrat,7,615878,1.07,-88524,-7.43,Republican,6,563126,0.96,-96634,-5.61,Republican,6,488940,1.13,-40609,-13.58,Republican,6,609660,1.14,233546,2.99,Republican,6,577137,1.21,179079,3.91,Republican,6,613095,1.25,148011,5.20,Republican,5,584154,1.12,30460,21.55,Democrat,5,536851,1.27,150379,4.52,Republican,5,576289,1.25,236307,3.06,Republican,5,607668,1.25,-126013,-6.01,Republican,5,640854,1.25,253086,3.18,Republican,5,652090,1.32,272188,3.16,Republican,5,662372,1.29,138801,6.13,Republican,5,739283,1.31,-127002,-7.64,Republican,5,677415,1.32,-126706,-7.06,Republican,5,697019,1.41,202082,,Republican,5,778186,1.46,258486,,Republican,5,801281,1.52,-119660,,Republican,5,794379,1.51,-172983,,Republican,5,844227,1.50,211467,,Republican,2,956383,1.54,-182263,,Republican
NV,Nevada,West,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16420,2.11,3232,10.71,Republican,3,11698,5.04,1262,46.27,Republican,3,14649,3.62,2177,24.37,Republican,3,19691,3.50,1075,63.67,Republican,3,18345,4.09,-881,-85.08,Democrat,3,12797,5.88,-1615,-46.60,Republican,3,12278,6.94,1939,43.94,Democrat,3,10878,7.50,-4453,-18.31,Populist,3,10314,9.07,-6438,-14.53,Democrat,3,10196,9.21,-2498,-37.61,Democrat,3,12115,7.04,2882,29.58,Republican,3,24526,3.77,-437,-211.62,Democrat,3,20115,4.23,2366,35.92,Democrat,3,33316,3.14,5649,18.54,Democrat,3,27194,5.56,5628,26.87,Republican,3,26921,6.11,1474,111.53,Republican,3,32417,6.41,4237,49.08,Republican,3,41430,5.42,16082,13.97,Democrat,3,43848,5.88,20002,12.89,Democrat,3,53174,5.30,10716,26.31,Democrat,3,54234,5.00,5012,54.08,Democrat,3,62117,4.44,1934,142.54,Democrat,3,82190,4.24,18814,18.54,Republican,3,96689,3.62,15409,22.74,Republican,3,107267,3.58,2493,154.25,Democrat,3,135433,2.91,23245,16.95,Democrat,3,154218,2.65,12590,32.42,Republican,3,181766,2.39,49734,8.72,Republican,3,201876,2.25,-8794,-51.70,Republican,3,247885,1.95,88351,5.46,Republican,4,286667,2.40,97115,7.09,Republican,4,350067,1.95,73302,9.29,Republican,4,506318,1.53,13320,58.29,Democrat,4,464279,1.54,4730,151.33,Democrat,4,608970,1.29,21597,36.29,Republican,5,829587,1.37,21500,52.86,Republican,5,967848,1.26,120909,10.09,Democrat,6,1014918,1.42,67806,21.23,Democrat,6,1125385,1.35,-27202,-56.03,Democrat,6,1405376,1.26,33596,52.58,Democrat
NH,New Hampshire,Northeast,Union,7,17474,0.47,702,11.68,Democratic-Republican,7,26878,0.48,-1292,-10.07,Federalist,8,36193,0.52,-4379,-4.28,Fusion,8,28563,0.27,1887,4.07,Democratic-Republican,8,9559,0.55,split,8,10032,1.54,Democratic-Republican-Adams,8,44035,0.84,-3611,-9.74,National Republican,7,43793,0.74,5917,5.24,Democrat,7,24925,1.49,12469,2.87,Democrat,7,59956,1.00,-6464,-8.89,Democrat,6,49187,1.24,9294,6.35,Democrat,6,50104,1.23,-12982,-4.58,Democrat,5,50535,1.09,13017,4.10,Democrat,5,69774,1.01,-5582,-12.26,Whig,5,65943,1.20,-11632,-6.64,Republican,5,69630,1.24,3562,24.29,Republican,5,68304,1.44,7143,13.62,Republican,5,68906,1.28,5743,15.40,Republican,5,80141,1.44,3030,37.65,Republican,5,86354,1.45,4058,30.78,Republican,4,84586,1.19,-4056,-24.74,Republican,4,90835,1.25,2272,50.00,Democrat,4,89329,1.22,-3577,-30.39,Republican,4,83670,1.49,35794,3.48,Republican,4,92364,1.36,19310,6.49,Republican,4,90161,1.26,20089,5.66,Republican,4,89600,1.38,19494,6.33,Republican,4,87961,1.29,1797,63.07,Democrat,4,89127,1.57,56,2493.49,Democrat,4,159092,1.27,32534,6.20,Republican,4,164769,1.33,41374,5.30,Republican,4,196757,1.41,34689,7.99,Republican,4,205520,1.46,-2949,-101.54,Republican,4,218114,1.58,3818,90.06,Democrat,4,235419,1.60,15165,24.79,Democrat,4,229625,1.57,9747,37.08,Democrat,4,231440,1.59,-13304,-27.63,Republican,4,272950,1.70,59624,7.80,Republican,4,266994,1.75,86155,5.42,Republican,4,295761,1.73,20217,25.36,Republican,4,286094,1.84,78036,6.73,Democrat,4,297298,1.83,24314,22.38,Republican,4,334055,1.73,97289,5.94,Republican,4,339618,1.78,-38300,-15.83,Republican,4,383999,1.67,112841,5.70,Republican,4,388954,1.77,146656,4.70,Republican,4,450525,1.51,117841,5.78,Republican,4,537215,1.45,6556,118.42,Democrat,4,499175,1.43,49682,14.41,Democrat,4,569081,1.38,7211,108.68,Republican,4,677738,1.34,-9274,-98.04,Democrat,4,710970,1.37,68292,14.30,Democrat,4,710972,1.35,39643,24.21,Democrat,4,744296,1.37,-2736,-371.39,Democrat,4,806182,1.46,59267,19.87,Democrat
