,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
106,Northeast,1908,114.0,4126169,3507244.0,27.71,133.85,36194.0,0.85,6,"CT,ME,MA,NJ,NY,PA"
107,Small,1908,57.0,1416753,1756774.0,9.52,45.96,24855.0,1.24,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
108,South,1908,150.0,2782706,4619292.0,18.69,90.27,18551.0,1.66,14,"AL,AR,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
109,West,1908,10.0,386597,309278.0,2.6,12.54,38660.0,0.8,1,CA
110,Midwest,1912,157.0,5928804,4446603.0,39.41,209.26,37763.0,0.75,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
111,Northeast,1912,128.0,4046884,3642196.0,26.9,142.84,31616.0,0.9,6,"CT,ME,MA,NJ,NY,PA"
112,Small,1912,55.0,1050810,1555199.0,6.98,37.09,19106.0,1.48,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
113,South,1912,165.0,2754579,4682784.0,18.31,97.23,16694.0,1.7,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
114,West,1912,26.0,1263206,732659.0,8.4,44.59,48585.0,0.58,3,"CA,CO,WA"
115,Midwest,1916,157.0,7779951,5445966.0,41.97,222.86,49554.0,0.7,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
116,Northeast,1916,128.0,4379947,4467546.0,23.63,125.47,34218.0,1.02,6,"CT,ME,MA,NJ,NY,PA"
117,Small,1916,55.0,1464614,1918644.0,7.9,41.96,26629.0,1.31,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
118,South,1916,165.0,3237101,5762040.0,17.46,92.73,19619.0,1.78,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
119,West,1916,26.0,1674972,904485.0,9.04,47.98,64422.0,0.54,3,"CA,CO,WA"
120,Midwest,1920,157.0,11045803,7952978.0,41.27,219.14,70355.0,0.72,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
121,Northeast,1920,128.0,7212148,6418812.0,26.95,143.08,56345.0,0.89,6,"CT,ME,MA,NJ,NY,PA"
122,Small,1920,55.0,1852764,2779146.0,6.92,36.76,33687.0,1.5,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
