,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
81,South,1876,111.0,2209499,2540924.0,26.25,96.84,19905.0,1.15,12,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA"
82,West,1876,6.0,155784,137090.0,1.85,6.83,25964.0,0.88,1,CA
83,Nat'l Average,1876,369.0,8418659,8418659.0,100.0,369.0,22815.0,1.0,38,All 38
84,Midwest,1880,105.0,3161732,2624238.0,34.29,126.55,30112.0,0.83,7,"IL,IN,IA,MI,MO,OH,WI"
85,Northeast,1880,99.0,2783486,2477303.0,30.19,111.41,28116.0,0.89,6,"CT,ME,MA,NJ,NY,PA"
86,Small,1880,48.0,926810,1195585.0,10.05,37.09,19309.0,1.29,12,"CO,DE,FL,KS,MN,NE,NV,NH,OR,RI,VT,WV"
87,South,1880,111.0,2184908,2774833.0,23.7,87.45,19684.0,1.27,12,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA"
88,West,1880,6.0,164245,149463.0,1.78,6.57,27374.0,0.91,1,CA
89,Nat'l Average,1880,369.0,9219477,9219477.0,100.0,369.0,24985.0,1.0,38,All 38
90,Midwest,1884,129.0,3947967,3237333.0,39.24,157.36,30604.0,0.82,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
91,Northeast,1884,101.0,2903085,2525684.0,28.86,115.72,28743.0,0.87,6,"CT,ME,MA,NJ,NY,PA"
92,Small,1884,33.0,532932,826045.0,5.3,21.24,16149.0,1.55,9,"CO,DE,FL,NE,NV,NH,OR,RI,VT"
93,South,1884,130.0,2479173,3272508.0,24.64,98.82,19071.0,1.32,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
94,West,1884,8.0,196988,200928.0,1.96,7.85,24624.0,1.02,1,CA
95,Nat'l Average,1884,401.0,10060145,10060145.0,100.0,401.0,25088.0,1.0,38,All 38
