,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted %,EC votes normalized,Population per EC vote,Vote weight,Party
2027,NH,New Hampshire,Northeast,2016,4.0,744296,0.54,2.93,186074.0,1.37,Democrat
2028,NJ,New Jersey,Northeast,2016,14.0,3874046,2.83,15.25,276718.0,0.92,Democrat
2029,NM,New Mexico,West,2016,5.0,798319,0.58,3.14,159664.0,1.59,Democrat
2030,NY,New York,Northeast,2016,29.0,7721453,5.65,30.4,266257.0,0.95,Democrat
2031,NC,North Carolina,Confederate,2016,15.0,4741564,3.47,18.67,316104.0,0.8,Republican
2032,ND,North Dakota,Midwest,2016,3.0,344360,0.25,1.36,114787.0,2.21,Republican
2033,OH,Ohio,Midwest,2016,18.0,5496487,4.02,21.64,305360.0,0.83,Republican
2034,OK,Oklahoma,West,2016,7.0,1452992,1.06,5.72,207570.0,1.22,Republican
2035,OR,Oregon,West,2016,7.0,2001336,1.46,7.88,285905.0,0.89,Democrat
2036,PA,Pennsylvania,Northeast,2016,20.0,6165478,4.51,24.27,308274.0,0.82,Republican
2037,RI,Rhode Island,Northeast,2016,4.0,464144,0.34,1.83,116036.0,2.19,Democrat
2038,SC,South Carolina,Confederate,2016,9.0,2103027,1.54,8.28,233670.0,1.09,Republican
2039,SD,South Dakota,Midwest,2016,3.0,370093,0.27,1.46,123364.0,2.06,Republican
2040,TN,Tennessee,Confederate,2016,11.0,2508027,1.84,9.87,228002.0,1.11,Republican
2041,TX,Texas,Confederate,2016,38.0,8969226,6.56,35.31,236032.0,1.08,Republican
2042,UT,Utah,West,2016,6.0,1131430,0.83,4.45,188572.0,1.35,Republican
2043,VT,Vermont,Northeast,2016,3.0,315067,0.23,1.24,105022.0,2.42,Democrat
2044,VA,Virginia,Confederate,2016,13.0,3984631,2.92,15.69,306510.0,0.83,Democrat
2045,WA,Washington,West,2016,12.0,3317019,2.43,13.06,276418.0,0.92,Democrat
2046,WV,West Virginia,Border,2016,5.0,714423,0.52,2.81,142885.0,1.78,Republican
2047,WI,Wisconsin,Midwest,2016,10.0,2976150,2.18,11.72,297615.0,0.85,Republican
2048,WY,Wyoming,West,2016,3.0,255849,0.19,1.01,85283.0,2.98,Republican
2049,AL,Alabama,Confederate,2020,9.0,2323282,1.47,7.89,258142.0,1.14,Republican
2050,AK,Alaska,West,2020,3.0,359530,0.23,1.22,119843.0,2.46,Republican
2051,AZ,Arizona,West,2020,11.0,3387326,2.14,11.51,307939.0,0.96,Democrat
2052,AR,Arkansas,Confederate,2020,6.0,1219069,0.77,4.14,203178.0,1.45,Republican
2053,CA,California,West,2020,55.0,17500871,11.05,59.45,318198.0,0.93,Democrat
2054,CO,Colorado,West,2020,9.0,3256980,2.06,11.06,361887.0,0.81,Democrat
2055,CT,Connecticut,Northeast,2020,7.0,1824273,1.15,6.2,260610.0,1.13,Democrat
2056,DE,Delaware,Border,2020,3.0,504346,0.32,1.71,168115.0,1.75,Democrat
2057,DC,District of Columbia,Border,2020,3.0,344356,0.22,1.17,114785.0,2.56,Democrat
