,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
75,Border,1888,43.0,1236609,1224243.0,10.86,43.54,28758.0,0.99,4,"KY,MD,MO,WV"
76,Confederate,1888,103.0,2037610,2934158.0,17.89,71.74,19783.0,1.44,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
77,Small,1888,33.0,662035,940090.0,5.81,23.31,20062.0,1.42,9,"CO,DE,FL,NE,NV,NH,OR,RI,VT"
78,Union,1888,222.0,7452592,6334703.0,65.44,262.41,33570.0,0.85,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
79,Postbellum,1888,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
80,Border,1892,44.0,1266801,1190793.0,10.5,46.61,28791.0,0.94,4,"KY,MD,MO,WV"
81,Confederate,1892,108.0,2102083,2942916.0,17.42,77.34,19464.0,1.4,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
82,Postbellum,1892,8.0,200192,218209.0,1.66,7.37,25024.0,1.09,1,NE
83,Small,1892,50.0,729490,1356851.0,6.04,26.84,14590.0,1.86,14,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,VT,WA,WY"
84,Union,1892,234.0,7769461,6370958.0,64.38,285.85,33203.0,0.82,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
85,Border,1896,44.0,1571840,1367501.0,11.28,50.41,35724.0,0.87,4,"KY,MD,MO,WV"
86,Confederate,1896,108.0,2237682,3378900.0,16.05,71.76,20719.0,1.51,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
87,Postbellum,1896,8.0,223182,249964.0,1.6,7.16,27898.0,1.12,1,NE
88,Small,1896,53.0,990599,1654300.0,7.11,31.77,18691.0,1.67,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
89,Union,1896,234.0,8915371,7310604.0,63.96,285.9,38100.0,0.82,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
90,Border,1900,44.0,1637151,1375207.0,11.7,52.28,37208.0,0.84,4,"KY,MD,MO,WV"
91,Confederate,1900,108.0,1841033,3387501.0,13.15,58.79,17047.0,1.84,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
92,Postbellum,1900,8.0,241430,251087.0,1.72,7.71,30179.0,1.04,1,NE
93,Small,1900,53.0,1129127,1659817.0,8.07,36.06,21304.0,1.47,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
94,Union,1900,234.0,9148688,7318950.0,65.36,292.16,39097.0,0.8,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
95,Border,1904,46.0,1544022,1312419.0,11.42,54.34,33566.0,0.85,4,"KY,MD,MO,WV"
96,Confederate,1904,115.0,1338925,3266977.0,9.9,47.12,11643.0,2.44,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
97,Postbellum,1904,8.0,225732,227989.0,1.67,7.94,28216.0,1.01,1,NE
98,Small,1904,57.0,1225164,1617216.0,9.06,43.12,21494.0,1.32,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
99,Union,1904,250.0,9191252,7077264.0,67.96,323.48,36765.0,0.77,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
100,Border,1908,46.0,1703282,1413724.0,11.44,55.25,37028.0,0.83,4,"KY,MD,MO,WV"
101,Confederate,1908,115.0,1538434,3538398.0,10.33,49.91,13378.0,2.3,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
102,Postbellum,1908,15.0,523716,460870.0,3.52,16.99,34914.0,0.88,2,"NE,OK"
103,Small,1908,57.0,1416753,1756774.0,9.52,45.96,24855.0,1.24,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
104,Union,1908,250.0,9708988,7670101.0,65.21,314.95,38836.0,0.79,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
105,Border,1912,47.0,1652089,1338192.0,10.98,58.31,35151.0,0.81,4,"KY,MD,MO,WV"
106,Confederate,1912,126.0,1547255,3574159.0,10.28,54.61,12280.0,2.31,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
107,Postbellum,1912,31.0,1092963,874370.0,7.26,38.58,35257.0,0.8,4,"CO,NE,OK,WA"
108,Small,1912,55.0,1050810,1555199.0,6.98,37.09,19106.0,1.48,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
109,Union,1912,272.0,9701166,7663921.0,64.48,342.41,35666.0,0.79,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
110,Border,1916,47.0,1858738,1635689.0,10.03,53.25,39548.0,0.88,4,"KY,MD,MO,WV"
111,Confederate,1916,126.0,1872379,4400091.0,10.1,53.64,14860.0,2.35,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
112,Postbellum,1916,31.0,1255437,1079676.0,6.77,35.96,40498.0,0.86,4,"CO,NE,OK,WA"
113,Small,1916,55.0,1464614,1918644.0,7.9,41.96,26629.0,1.31,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
114,Union,1916,272.0,12085417,9547479.0,65.2,346.2,44432.0,0.79,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
115,Border,1920,47.0,3189893,2360521.0,11.92,63.29,67870.0,0.74,4,"KY,MD,MO,WV"
116,Confederate,1920,126.0,2675944,6341987.0,10.0,53.09,21238.0,2.37,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
117,Postbellum,1920,31.0,1560121,1560121.0,5.83,30.95,50326.0,1.0,4,"CO,NE,OK,WA"
118,Small,1920,55.0,1852764,2779146.0,6.92,36.76,33687.0,1.5,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
119,Union,1920,272.0,17486458,13639437.0,65.33,346.92,64288.0,0.78,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
120,Border,1924,47.0,3065582,2575089.0,10.54,55.94,65225.0,0.84,4,"KY,MD,MO,WV"
121,Confederate,1924,126.0,2530094,6907157.0,8.7,46.17,20080.0,2.73,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
122,Postbellum,1924,31.0,1756397,1703705.0,6.04,32.05,56658.0,0.97,4,"CO,NE,OK,WA"
123,Small,1924,55.0,2024443,3016420.0,6.96,36.94,36808.0,1.49,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
124,Union,1924,272.0,19720591,14987649.0,67.78,359.88,72502.0,0.76,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
125,Border,1928,47.0,3612425,3251182.0,9.81,52.12,76860.0,0.9,4,"KY,MD,MO,WV"
126,Confederate,1928,126.0,3378616,8750615.0,9.18,48.74,26814.0,2.59,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
127,Postbellum,1928,31.0,2058653,2140999.0,5.59,29.7,66408.0,1.04,4,"CO,NE,OK,WA"
128,Small,1928,55.0,2343479,3819871.0,6.37,33.81,42609.0,1.63,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
129,Union,1928,272.0,25413839,18806241.0,69.05,366.64,93433.0,0.74,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
130,Border,1932,42.0,3847785,3155184.0,9.68,51.4,91614.0,0.82,4,"KY,MD,MO,WV"
131,Confederate,1932,124.0,3780128,9299115.0,9.51,50.49,30485.0,2.46,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
132,Postbellum,1932,32.0,2347280,2394226.0,5.9,31.35,73352.0,1.02,4,"CO,NE,OK,WA"
133,Small,1932,56.0,2951482,4191104.0,7.42,39.43,52705.0,1.42,15,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
134,Union,1932,277.0,26825223,20655422.0,67.48,358.33,96842.0,0.77,14,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,PA,WI"
135,Border,1936,42.0,4209679,3620324.0,9.22,48.97,100230.0,0.86,4,"KY,MD,MO,WV"
136,Confederate,1936,124.0,4176586,10650294.0,9.15,48.58,33682.0,2.55,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
137,Postbellum,1936,32.0,2538785,2741888.0,5.56,29.53,79337.0,1.08,4,"CO,NE,OK,WA"
138,Small,1936,56.0,3176408,4828140.0,6.96,36.95,56722.0,1.52,15,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
139,Union,1936,277.0,31546611,23659958.0,69.11,366.97,113887.0,0.75,14,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,PA,WI"
140,Border,1940,42.0,4331985,3942106.0,8.68,46.1,103142.0,0.91,4,"KY,MD,MO,WV"
141,Confederate,1940,124.0,4757575,11656059.0,9.53,50.62,38368.0,2.45,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
142,Postbellum,1940,32.0,2784927,3007721.0,5.58,29.63,87029.0,1.08,4,"CO,NE,OK,WA"
143,Small,1940,56.0,3456856,5254421.0,6.93,36.78,61730.0,1.52,15,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
144,Union,1940,277.0,34570770,25928078.0,69.28,367.86,124804.0,0.75,14,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,PA,WI"
145,Border,1944,42.0,3764430,3802074.0,7.85,41.66,89629.0,1.01,4,"KY,MD,MO,WV"
146,Confederate,1944,127.0,4741298,11473941.0,9.88,52.48,37333.0,2.42,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
147,Postbellum,1944,30.0,2647129,2700072.0,5.52,29.3,88238.0,1.02,4,"CO,NE,OK,WA"
148,Small,1944,53.0,2637698,4800610.0,5.5,29.19,49768.0,1.82,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
149,Union,1944,279.0,34186508,25298016.0,71.26,378.37,122532.0,0.74,15,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,OR,PA,WI"
150,Border,1948,42.0,3746771,3859174.0,7.68,40.77,89209.0,1.03,4,"KY,MD,MO,WV"
151,Confederate,1948,127.0,5215284,11682236.0,10.69,56.76,41065.0,2.24,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
