,Group,Year,EC votes,Votes counted,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
23,West,1848,0.0,0,0.0,0.0,0.0,0.0,0,
24,Border,1852,32.0,268237,8.49,25.13,8382.0,1.27,4,"DE,KY,MD,MO"
25,Confederate,1852,80.0,559397,17.7,52.41,6992.0,1.53,10,"AL,AR,FL,GA,LA,MS,NC,TN,TX,VA"
26,Union,1852,172.0,2254716,71.36,211.23,13109.0,0.81,15,"CT,IL,IN,IA,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT,WI"
27,West,1852,4.0,76810,2.43,7.2,19202.0,0.56,1,CA
28,Border,1856,32.0,349993,8.64,25.57,10937.0,1.25,4,"DE,KY,MD,MO"
29,Confederate,1856,80.0,736240,18.17,53.79,9203.0,1.49,10,"AL,AR,FL,GA,LA,MS,NC,TN,TX,VA"
30,Union,1856,172.0,2855098,70.47,208.58,16599.0,0.82,15,"CT,IL,IN,IA,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT,WI"
31,West,1856,4.0,110255,2.72,8.05,27564.0,0.5,1,CA
32,Border,1860,32.0,420396,8.98,27.21,13137.0,1.18,4,"DE,KY,MD,MO"
33,Confederate,1860,80.0,856610,18.3,55.44,10708.0,1.44,10,"AL,AR,FL,GA,LA,MS,NC,TN,TX,VA"
34,Union,1860,176.0,3269737,69.85,211.63,18578.0,0.83,16,"CT,IL,IN,IA,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
35,West,1860,7.0,134588,2.87,8.71,19227.0,0.8,2,"CA,OR"
36,Border,1864,37.0,321125,7.96,18.56,8679.0,1.99,5,"DE,KY,MD,MO,WV"
37,Union,1864,186.0,3570080,88.55,206.32,19194.0,0.9,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
38,West,1864,10.0,140655,3.49,8.13,14066.0,1.23,3,"CA,NV,OR"
39,Confederate,1864,0.0,0,0.0,0.0,0.0,0.0,0,
40,Border,1868,37.0,468630,8.19,24.08,12666.0,1.54,5,"DE,KY,MD,MO,WV"
41,Confederate,1868,54.0,835881,14.61,42.94,15479.0,1.26,7,"AL,AR,GA,LA,NC,SC,TN"
42,Union,1868,186.0,4260574,74.45,218.9,22906.0,0.85,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
43,West,1868,14.0,157731,2.76,8.1,11266.0,1.73,4,"CA,NE,NV,OR"
44,Border,1872,43.0,682930,10.55,38.62,15882.0,1.11,5,"DE,KY,MD,MO,WV"
45,Confederate,1872,95.0,1420711,21.95,80.34,14955.0,1.18,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
46,Union,1872,213.0,4211829,65.08,238.19,19774.0,0.89,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
47,West,1872,15.0,156513,2.42,8.85,10434.0,1.69,4,"CA,NE,NV,OR"
48,Border,1876,43.0,898775,10.68,39.39,20902.0,1.09,5,"DE,KY,MD,MO,WV"
49,Confederate,1876,95.0,1831890,21.76,80.29,19283.0,1.18,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
50,Union,1876,213.0,5433310,64.54,238.15,25508.0,0.89,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
51,West,1876,15.0,254684,3.03,11.16,16979.0,1.34,4,"CA,NE,NV,OR"
52,Border,1880,43.0,982695,10.66,39.33,22853.0,1.09,5,"DE,KY,MD,MO,WV"
53,Confederate,1880,95.0,1796383,19.48,71.9,18909.0,1.32,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
54,Union,1880,213.0,6077696,65.92,243.25,28534.0,0.88,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
55,West,1880,18.0,364407,3.95,14.59,20245.0,1.23,5,"CA,CO,NE,NV,OR"
56,Border,1884,46.0,1065897,10.6,42.49,23172.0,1.08,5,"DE,KY,MD,MO,WV"
57,Confederate,1884,107.0,1944518,19.33,77.51,18173.0,1.38,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
58,Union,1884,226.0,6586542,65.47,262.54,29144.0,0.86,17,"CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,PA,RI,VT,WI"
59,West,1884,22.0,463188,4.6,18.46,21054.0,1.19,5,"CA,CO,NE,NV,OR"
60,Border,1888,46.0,1266373,11.12,44.59,27530.0,1.03,5,"DE,KY,MD,MO,WV"
