,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
125,Midwest,1900,152.0,6128802,4780466.0,43.79,195.72,40321.0,0.78,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
126,Northeast,1900,117.0,4028118,3665587.0,28.78,128.64,34428.0,0.91,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
127,South,1900,142.0,2876166,4458057.0,20.55,91.85,20255.0,1.55,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
128,West,1900,36.0,964343,1128281.0,6.89,30.8,26787.0,1.17,9,"CA,CO,ID,MT,NV,OR,UT,WA,WY"
129,Nat'l Average,1900,447.0,13997429,13997429.0,100.0,447.0,31314.0,1.0,45,All 44
130,Midwest,1904,160.0,5880061,4527647.0,43.48,206.94,36750.0,0.77,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
131,Northeast,1904,126.0,4231020,3596367.0,31.28,148.91,33580.0,0.85,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
132,South,1904,151.0,2321647,4295047.0,17.17,81.71,15375.0,1.85,15,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
133,West,1904,39.0,1092367,1103291.0,8.08,38.44,28009.0,1.01,9,"CA,CO,ID,MT,NV,OR,UT,WA,WY"
134,Nat'l Average,1904,476.0,13525095,13525095.0,100.0,476.0,28414.0,1.0,45,All 44
135,Midwest,1908,160.0,6388248,4918951.0,42.91,207.23,39927.0,0.77,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
136,Northeast,1908,126.0,4340766,3863282.0,29.15,140.81,34451.0,0.89,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
137,South,1908,158.0,2880073,4867323.0,19.34,93.43,18228.0,1.69,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
138,West,1908,39.0,1282086,1205161.0,8.61,41.59,32874.0,0.94,9,"CA,CO,ID,MT,NV,OR,UT,WA,WY"
139,Nat'l Average,1908,483.0,14889239,14889239.0,100.0,483.0,30827.0,1.0,46,All 45
140,Midwest,1912,167.0,6131709,4721416.0,40.76,216.42,36717.0,0.77,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
141,Northeast,1912,141.0,4275580,3976289.0,28.42,150.91,30323.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
142,South,1912,168.0,2803273,4765564.0,18.63,98.94,16686.0,1.7,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
143,West,1912,55.0,1833721,1558663.0,12.19,64.72,33340.0,0.85,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
144,Nat'l Average,1912,531.0,15044278,15044278.0,100.0,531.0,28332.0,1.0,48,All 47
145,Midwest,1916,167.0,8024283,5857727.0,43.29,229.86,48050.0,0.73,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
146,Northeast,1916,141.0,4621365,4944861.0,24.93,132.38,32776.0,1.07,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
147,South,1916,168.0,3288911,5854262.0,17.74,94.21,19577.0,1.78,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
148,West,1916,55.0,2602026,1925499.0,14.04,74.54,47310.0,0.74,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
149,Nat'l Average,1916,531.0,18536585,18536585.0,100.0,531.0,34909.0,1.0,48,All 47
150,Midwest,1920,167.0,11433816,8461024.0,42.72,226.84,68466.0,0.74,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
151,Northeast,1920,141.0,7629182,7095139.0,28.5,151.36,54108.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
152,South,1920,168.0,5114522,8490107.0,19.11,101.47,30444.0,1.66,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
153,West,1920,55.0,2587660,2768796.0,9.67,51.34,47048.0,1.07,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
154,Nat'l Average,1920,531.0,26765180,26765180.0,100.0,531.0,50405.0,1.0,48,All 47
155,Midwest,1924,167.0,12396579,9173468.0,42.6,226.23,74231.0,0.74,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
156,Northeast,1924,141.0,8694993,7738544.0,29.88,158.68,61667.0,0.89,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
157,South,1924,168.0,4907018,9225194.0,16.86,89.55,29208.0,1.88,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
158,West,1924,55.0,3098517,3005561.0,10.65,56.55,56337.0,0.97,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
159,Nat'l Average,1924,531.0,29097107,29097107.0,100.0,531.0,54797.0,1.0,48,All 47
160,Midwest,1928,167.0,14669324,11588766.0,39.85,211.63,87840.0,0.79,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
161,Northeast,1928,141.0,12066598,9773944.0,32.78,174.08,85579.0,0.81,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
162,South,1928,168.0,6214638,11621373.0,16.88,89.66,36992.0,1.87,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
163,West,1928,55.0,3856452,3817887.0,10.48,55.64,70117.0,0.99,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
164,Nat'l Average,1928,531.0,36807012,36807012.0,100.0,531.0,69316.0,1.0,48,All 47
165,Midwest,1932,161.0,15930421,12107120.0,40.07,212.8,98947.0,0.76,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
166,Northeast,1932,140.0,12258709,10419903.0,30.84,163.75,87562.0,0.85,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
167,South,1932,165.0,6835553,12372351.0,17.2,91.31,41428.0,1.81,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
168,West,1932,65.0,4727215,4869031.0,11.89,63.15,72726.0,1.03,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
169,Nat'l Average,1932,531.0,39751898,39751898.0,100.0,531.0,74862.0,1.0,48,All 47
170,Midwest,1936,161.0,17828234,13906023.0,39.06,207.39,110734.0,0.78,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
171,Northeast,1936,140.0,15063562,12050850.0,33.0,175.23,107597.0,0.8,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
172,South,1936,165.0,7434973,14200798.0,16.29,86.49,45060.0,1.91,16,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
173,West,1936,65.0,5321300,5587365.0,11.66,61.9,81866.0,1.05,11,"AZ,CA,CO,ID,MT,NV,NM,OR,UT,WA,WY"
174,Nat'l Average,1936,531.0,45647699,45647699.0,100.0,531.0,85966.0,1.0,48,All 47
