,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Vote weight,Party
1802,SD,South Dakota,Small,1996,3.0,323826,537551.0,0.34,1.81,107942.0,1.66,Republican
1803,TN,Tennessee,Confederate,1996,11.0,1894105,1969869.0,1.97,10.58,172191.0,1.04,Democrat
1804,TX,Texas,Confederate,1996,32.0,5611644,5723877.0,5.83,31.36,175364.0,1.02,Republican
1805,UT,Utah,Post-War,1996,5.0,665629,891943.0,0.69,3.72,133126.0,1.34,Republican
1806,VT,Vermont,Small,1996,3.0,258449,537574.0,0.27,1.44,86150.0,2.08,Democrat
1807,VA,Virginia,Confederate,1996,13.0,2416642,2319976.0,2.51,13.5,185896.0,0.96,Republican
1808,WA,Washington,Post-War,1996,11.0,2253837,1960838.0,2.34,12.59,204894.0,0.87,Democrat
1809,WV,West Virginia,Border,1996,5.0,636459,897407.0,0.66,3.56,127292.0,1.41,Democrat
1810,WI,Wisconsin,Union,1996,11.0,2196169,1976552.0,2.28,12.27,199652.0,0.9,Democrat
1811,WY,Wyoming,Small,1996,3.0,211571,537390.0,0.22,1.18,70524.0,2.54,Republican
1812,AL,Alabama,Confederate,2000,9.0,1666272,1766248.0,1.58,8.5,185141.0,1.06,Republican
1813,AK,Alaska,Small,2000,3.0,285560,588254.0,0.27,1.46,95187.0,2.06,Republican
1814,AZ,Arizona,Post-War,2000,8.0,1532016,1562656.0,1.45,7.82,191502.0,1.02,Republican
1815,AR,Arkansas,Confederate,2000,6.0,921781,1179880.0,0.87,4.7,153630.0,1.28,Republican
1816,CA,California,Union,2000,54.0,10965856,10527222.0,10.4,55.97,203071.0,0.96,Democrat
1817,CO,Colorado,Post-War,2000,8.0,1741368,1567231.0,1.65,8.89,217671.0,0.9,Republican
1818,CT,Connecticut,Union,2000,8.0,1459525,1561692.0,1.38,7.45,182441.0,1.07,Democrat
1819,DE,Delaware,Small,2000,3.0,327622,586443.0,0.31,1.67,109207.0,1.79,Democrat
1820,DC,District of Columbia,Small,2000,3.0,201894,587512.0,0.19,1.03,67298.0,2.91,Democrat
1821,FL,Florida,Confederate,2000,25.0,5963110,4889750.0,5.66,30.44,238524.0,0.82,Republican
1822,GA,Georgia,Confederate,2000,13.0,2596804,2544868.0,2.46,13.25,199754.0,0.98,Republican
1823,HI,Hawaii,Small,2000,4.0,367951,783736.0,0.35,1.88,91988.0,2.13,Democrat
1824,ID,Idaho,Small,2000,4.0,501621,782529.0,0.48,2.56,125405.0,1.56,Republican
1825,IL,Illinois,Union,2000,22.0,4742123,4315332.0,4.5,24.2,215551.0,0.91,Democrat
1826,IN,Indiana,Union,2000,12.0,2199302,2353253.0,2.09,11.23,183275.0,1.07,Republican
1827,IA,Iowa,Union,2000,7.0,1315563,1368186.0,1.25,6.71,187938.0,1.04,Democrat
1828,KS,Kansas,Union,2000,6.0,1072218,1179440.0,1.02,5.47,178703.0,1.1,Republican
1829,KY,Kentucky,Border,2000,8.0,1544187,1575071.0,1.47,7.88,193023.0,1.02,Republican
1830,LA,Louisiana,Confederate,2000,9.0,1765656,1765656.0,1.68,9.01,196184.0,1.0,Republican
1831,MD,Maryland,Border,2000,10.0,2025480,1964716.0,1.92,10.34,202548.0,0.97,Democrat
1832,MA,Massachusetts,Union,2000,12.0,2702984,2351596.0,2.56,13.8,225249.0,0.87,Democrat
